@relation flags_ml_5

@attribute landmass character
@attribute zone character
@attribute area numeric
@attribute population numeric
@attribute language character
@attribute religion character
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent character
@attribute triangle character
@attribute icon character
@attribute animate character
@attribute text character
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
1,4,   0, 0,1,1,0, 0,6,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
3,1, 237,22,6,6,3, 0,7,0,0,0,0,2,0,0,1,1,1,1,1,1,1,1,0,1
3,1,  29, 3,6,6,0, 0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
5,1,   6, 0,10,2,0, 0,4,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0
4,1, 583,17,10,5,0, 5,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
2,3, 407, 3,2,0,0, 3,6,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,1, 236,13,10,5,0, 6,5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
3,4,   0, 0,1,1,0, 1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
5,1,1566, 2,10,6,3, 0,3,2,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
3,4, 505,38,2,0,0, 3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,1,2388,20,8,2,2, 0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
4,1, 113, 3,3,5,0, 0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4,2,   2, 0,3,2,0, 0,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0
3,1, 301,57,6,0,3, 0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5,1, 212, 1,8,2,0, 2,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2,3, 757,11,2,0,0, 2,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
3,1, 128,15,5,6,0, 0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
2,4,  91, 0,3,0,3, 0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4,4, 111, 1,10,5,0,11,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
3,1, 324, 4,6,1,0, 0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
