@relation MultiLabelData_10

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute Att31 numeric
@attribute Att32 numeric
@attribute Att33 numeric
@attribute Att34 numeric
@attribute Att35 numeric
@attribute Att36 numeric
@attribute Att37 numeric
@attribute Att38 numeric
@attribute Att39 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att43 numeric
@attribute Att44 numeric
@attribute Att45 numeric
@attribute Att46 numeric
@attribute Att47 numeric
@attribute Att48 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att51 numeric
@attribute Att52 numeric
@attribute Att53 numeric
@attribute Att54 numeric
@attribute Att55 numeric
@attribute Att56 numeric
@attribute Att57 numeric
@attribute Att58 numeric
@attribute Att59 numeric
@attribute Att60 numeric
@attribute Att61 numeric
@attribute Att62 numeric
@attribute Att63 numeric
@attribute Att64 numeric
@attribute Att65 numeric
@attribute Att66 numeric
@attribute Att67 numeric
@attribute Att68 numeric
@attribute Att69 numeric
@attribute Att70 numeric
@attribute Att71 numeric
@attribute Att72 numeric
@attribute Att73 numeric
@attribute Att74 numeric
@attribute Att75 numeric
@attribute Att76 numeric
@attribute Att77 numeric
@attribute Att78 numeric
@attribute Att79 numeric
@attribute Att80 numeric
@attribute Att81 numeric
@attribute Att82 numeric
@attribute Att83 numeric
@attribute Att84 numeric
@attribute Att85 numeric
@attribute Att86 numeric
@attribute Att87 numeric
@attribute Att88 numeric
@attribute Att89 numeric
@attribute Att90 numeric
@attribute Att91 numeric
@attribute Att92 numeric
@attribute Att93 numeric
@attribute Att94 numeric
@attribute Att95 numeric
@attribute Att96 numeric
@attribute Att97 numeric
@attribute Att98 numeric
@attribute Att99 numeric
@attribute Att100 numeric
@attribute Att101 numeric
@attribute Att102 numeric
@attribute Att103 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}

@data
-0.123023,-0.235144,-0.334314,-0.108326,0.023025,0.045773,0.207193,0.168031,0.16536,-0.018552,-0.043038,-0.029085,0.1008,-0.042576,0.134023,0.028031,0.208975,-0.044314,-0.14722,-0.056228,-0.055528,-0.206149,0.117739,0.051788,0.161474,0.138994,0.130959,0.175014,0.168549,0.169121,0.072413,0.13074,0.018516,-0.012349,0.029556,0.021851,0.087226,-0.052639,-0.038835,-0.137314,-0.084838,0.000418,-0.007024,0.002937,-0.079492,-0.208453,-0.060419,-0.120739,0.12007,0.039463,-0.004121,-0.098285,-0.211197,0.101966,-0.014907,0.063045,0.131142,-0.007281,0.074517,-0.041832,-0.002715,-0.074596,0.09112,0.027355,0.072563,-0.067985,-0.071705,-0.078633,0.127631,0.05935,0.055385,0.079222,0.120279,0.051177,-0.01704,0.046085,0.070533,-0.149093,-0.096052,0.005765,-0.01671,-0.034264,-0.021127,-0.052573,0.006532,0.005691,-0.005681,-0.029445,-0.017194,-0.034222,-0.03467,-0.013013,-0.031807,-0.000445,-0.015293,0.020202,-0.017221,-0.010218,-0.006494,-0.031443,0.013471,0.029989,0.123354,0,1,1,1,0,0,1,1,0,0,0,1,1,1
0.04933,-0.199128,-0.060115,-0.142249,0.070507,-0.05464,-0.018287,-0.171564,-0.046768,0.075199,0.126995,0.019877,0.071368,-0.061161,0.076015,0.052122,0.167704,-0.091702,0.048394,-0.087133,-0.1141,0.013345,-0.009947,-0.090799,-0.199163,-0.177412,-0.109198,-0.144664,-0.088524,-0.01507,-0.041556,-0.222602,0.146131,0.178835,0.132872,0.080636,0.094364,0.100553,0.120643,0.05339,-0.045747,0.090499,0.015856,0.030785,0.207291,0.116984,0.08976,-0.126382,-0.01401,-0.001737,0.078828,0.181546,0.147809,0.042123,0.126856,0.191476,-0.007651,-0.021654,-0.123,-0.177051,-0.120916,0.021619,-0.277591,-0.10126,0.003292,0.075371,-0.074815,-0.14246,-0.017003,-0.106801,-0.222324,0.083784,0.01048,-0.02305,0.01565,0.065269,0.03756,-0.127417,-0.018484,-0.005393,-0.023192,-0.02647,0.010142,-0.062323,-0.00016,0.007445,-0.01725,-0.019784,-0.026465,-0.023866,-0.024951,0.005313,-0.023386,0.01242,-0.025913,-0.023852,-0.007196,-0.018242,0.043776,-0.038405,-0.018991,0.019332,0.121823,0,0,1,1,0,0,0,0,0,0,0,1,1,1
-0.111266,-0.015318,-0.147291,-0.076567,-0.112964,0.010874,-0.010715,0.074272,-0.0978,-0.227998,-0.213771,-0.141835,-0.069964,0.027635,-0.178672,-0.122038,0.049871,0.090437,0.277571,0.150103,-0.10143,0.243416,0.032968,0.010171,0.111389,-0.026517,-0.136898,-0.06386,0.168503,-0.032654,0.04837,-0.008453,-0.008753,0.006459,-0.073052,-0.038908,0.03683,-0.026693,-0.025413,-0.092443,-0.097611,0.032244,-0.069607,0.136728,0.06,-0.036259,-0.002124,0.05427,-0.016299,-0.154007,0.032133,0.044678,-0.040037,0.041196,0.149371,0.175324,0.007021,-0.039023,0.07146,0.044944,0.04637,-0.101679,-0.107561,0.02504,-0.016804,0.110798,-0.082117,0.011082,0.013153,0.156241,-0.008181,0.162711,-0.061376,-0.149756,-0.110862,-0.037445,-0.083689,0.060118,-0.046334,-0.076739,-0.092827,-0.005196,0.003667,0.231108,0.114185,-0.048036,-0.089678,-0.08384,0.041419,-0.058593,0.209342,0.046148,0.097606,0.141571,0.006029,-0.085412,-0.076937,-0.078253,-0.086553,-0.016023,-0.012645,-0.078776,0.004794,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0.052321,-0.182012,-0.036356,-0.122398,0.052549,-0.02182,0.155688,-0.051148,0.060045,0.066945,-0.084538,0.04432,0.18481,-0.008938,0.053261,-0.011681,0.165027,-0.018673,0.099896,-0.067058,-0.092527,0.080601,-0.067287,-0.210987,0.009216,-0.039077,0.119792,0.083927,-0.078518,0.146614,0.067732,0.229386,-0.134689,-0.129485,-0.004002,0.108518,0.145472,0.081895,0.005309,-0.039728,-0.143078,0.142969,0.093558,-0.209408,0.069422,0.02429,0.023554,-0.136598,0.058982,-0.000836,-0.038936,-0.075672,-0.100387,0.058611,-0.192649,-0.138854,0.240107,0.166561,-0.224768,0.0829,-0.063132,-0.053152,0.058404,-0.176411,-0.003212,-0.089484,0.104617,-0.077315,0.146899,-0.127829,-0.0163,-0.071392,0.120824,0.14997,-0.107314,-0.0817,-0.100519,0.087478,0.013922,-0.004007,-0.038105,-0.057226,-0.023875,-0.071285,0.006249,0.095025,0.047742,-0.047187,-0.022477,-0.003805,-0.017269,-0.021819,-0.041411,-0.018931,-0.032425,0.009867,-0.037711,0.0158,0.024939,-0.029402,-0.025893,0.005286,0.12819,0,0,1,1,0,0,0,1,1,0,0,0,0,1
0.114029,-0.154269,-0.136142,-0.17767,0.137882,-0.234958,0.199683,0.042745,0.142411,-0.112002,-0.063213,0.057004,0.064448,0.023028,-0.005957,-0.009762,0.108818,-0.11649,0.026578,-0.065173,-0.122311,0.117914,0.205612,0.108424,0.200408,0.070503,-0.025683,-0.082208,0.113646,-0.06631,0.136155,0.020091,0.18196,0.032945,0.054042,0.024982,0.13244,0.094443,0.090988,0.025589,0.050306,0.031646,0.182223,0.054656,-0.000826,0.054002,0.141418,-0.1557,-0.145105,-0.012955,-0.105696,-0.164922,-0.198711,0.050207,-0.030093,-0.016295,-0.235044,-0.055916,0.185891,0.085821,-0.00923,-0.012635,0.110068,0.138049,0.058644,0.007009,-0.079654,0.014934,0.093161,0.010613,0.015661,0.003989,-0.071103,-0.029087,-0.047084,-0.262803,0.006857,-0.024959,-0.121865,0.011943,-0.03475,0.005684,-0.034483,-0.078964,-0.023868,0.025327,0.052467,-0.051564,-0.025729,-0.023066,-0.002395,-0.038749,-0.037806,-0.002279,-0.013269,-0.036833,-0.008062,-0.028606,0.010802,-0.032582,0.023587,0.051011,0.132655,0,1,1,0,1,1,0,1,1,0,0,1,1,0
-0.023864,0.016589,-0.04404,-0.116185,0.011686,0.003383,-0.018204,-0.086113,-0.018349,0.102502,-0.062481,-0.003741,0.064993,-0.047051,-0.089377,-0.054805,-0.104279,-0.07878,-0.040405,0.176046,0.070043,0.034172,0.026079,0.043544,0.006268,0.082058,0.027261,0.042208,0.076408,0.093555,0.076148,0.119767,0.097462,0.047147,0.1028,0.101957,0.052085,0.077838,0.084345,0.115204,0.109395,0.171634,0.086273,0.021642,0.129725,0.08795,0.187564,-0.01861,-0.091224,-0.141061,-0.151612,-0.008606,-0.166954,0.030736,0.037324,-0.058797,-0.143162,-0.135556,-0.023308,-0.003337,-0.010556,0.002862,-0.022349,-0.102819,-0.041993,0.0467,0.021077,-0.059402,-0.123949,0.026638,-0.051064,-0.07705,0.025555,-0.129959,-0.02149,0.096379,0.013092,0.090036,0.065816,-0.092418,-0.109495,-0.127199,-0.106194,-0.134993,-0.029465,0.056496,0.156117,-0.097934,-0.050175,0.445197,0.283836,-0.064559,-0.112116,-0.045405,0.077868,0.008234,-0.00228,-0.021099,0.107558,0.118354,0.02528,0.11522,-0.107643,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-0.068758,-0.028869,-0.078729,-0.011194,-0.022109,-0.077655,-0.024976,-0.120134,-0.114628,0.040074,-0.051514,0.007411,-0.120338,-0.022021,-0.0736,0.035151,-0.060735,-0.013785,0.03342,0.030463,0.061905,0.104026,0.075266,0.088379,0.072782,0.268827,0.255719,0.236956,0.07798,0.243061,0.27628,0.254294,-0.041413,-0.084109,-0.110588,0.016716,0.069533,0.018378,-0.049465,-0.118441,0.030167,0.006551,-0.051785,-0.014223,-0.157045,-0.052633,-0.06221,-0.021733,-0.130848,-0.065544,-0.09406,-0.094271,-0.081792,0.051659,-0.001066,-0.013099,-0.002503,0.001295,-0.008244,0.178425,0.03112,0.14431,0.149092,0.047167,-0.120325,-0.140609,0.006516,0.064677,0.086479,-0.057888,-0.017481,0.165906,0.048733,-0.021978,-0.116513,-0.071216,-0.116372,-0.078393,-0.046947,-0.096957,-0.130749,0.052143,-0.04155,-0.019735,0.02416,-0.015359,0.132049,-0.005483,0.154465,0.017157,0.014503,0.034128,-0.078421,0.018867,-0.075842,0.200004,-0.082891,-0.102068,-0.074868,0.064782,-0.053822,-0.048441,0.04983,0,1,1,0,1,1,1,1,1,0,0,1,1,0
-0.132624,-0.055593,-0.12167,-0.057149,-0.22752,-0.120437,-0.183211,-0.151175,-0.132329,-0.012625,-0.158276,-0.154458,-0.181483,-0.077461,-0.128181,-0.110825,-0.102681,-0.084287,0.001303,0.064943,0.003234,0.008185,-0.050476,-0.051227,-0.025359,-0.037425,-0.063073,-0.018791,-0.083435,-0.076394,-0.015343,-0.003732,0.07242,0.041754,0.002517,0.030948,0.056102,0.014349,0.022491,-0.001511,0.100605,0.102748,0.008661,-0.033297,0.011532,0.000447,0.007506,0.005521,-0.050879,0.07818,0.139143,0.122075,0.123081,-0.152718,0.122375,0.042104,0.060693,0.068146,0.250125,0.002669,0.050958,-0.004004,0.044115,0.033166,-0.052196,-0.013341,-0.076523,0.009885,-0.040282,0.356367,0.004529,0.02432,-0.091382,-0.167288,-0.127736,-0.165186,-0.12601,0.04277,0.123078,-0.051679,-0.067832,0.0985,-0.067167,0.064908,-0.06151,-0.061726,-0.063181,0.205456,-0.07282,0.270245,-0.085068,0.067528,0.02937,-0.014153,-0.0663,-0.062066,-0.021755,0.051142,0.055565,-0.074328,-0.073214,-0.047645,-0.002333,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.38669,0.215327,-0.089985,-0.124373,-0.188243,-0.059888,-0.187746,-0.148993,-0.184292,-0.005271,-0.060895,0.050317,-0.003726,0.044371,-0.045536,-0.041737,0.013945,0.114836,-0.005141,0.011791,0.083591,0.064122,0.120801,0.096575,0.077385,-0.003012,-0.051,-0.015107,0.113095,-0.036483,-0.038807,0.013638,-0.088334,-0.12688,-0.192976,-0.115701,-0.083261,0.000269,-0.008796,-0.076771,-0.101666,-0.110308,-0.019253,0.069619,0.139363,0.203233,0.144774,0.143326,-0.010348,0.015647,0.011185,0.06671,0.035129,0.062665,0.125661,0.148843,0.061634,0.006425,-0.048853,-0.087679,0.000612,-0.009637,-0.056942,0.001873,-0.002627,0.03995,0.020939,-0.036927,-0.026784,-0.073334,-0.093149,-0.057043,0.098067,0.091583,-0.027631,-0.063456,-0.053869,-0.065108,-0.090312,-0.048962,0.020516,-0.079267,0.104227,-0.088687,-0.058334,0.181894,-0.060054,-0.066023,-0.065455,0.174979,0.163883,0.067776,-0.07032,0.027977,-0.034108,-0.05912,-0.06264,-0.062479,-0.048225,-0.034931,-0.069768,0.238283,0.024528,0,1,1,0,1,1,0,0,1,1,0,1,1,0
-0.163666,-0.075343,-0.141545,-0.112644,0.049839,-0.018292,0.040028,-0.025803,-0.062118,-0.037872,-0.044566,-0.100754,-0.057484,-0.010796,0.047646,0.045999,0.006977,0.193396,-0.038996,-0.071283,-0.120893,-0.072227,-0.015116,-0.02432,-0.004492,0.050144,0.093762,0.163796,-0.089565,0.056999,0.040278,-0.009188,-0.05456,-0.026348,0.029764,0.033839,0.025381,-0.111099,-0.091296,-0.058003,-0.07766,0.032934,0.004131,-0.076613,-0.079039,-0.109381,-0.049459,-0.079155,0.20122,0.235865,0.186712,0.188537,0.172958,-0.091317,0.031854,0.022827,0.240332,0.156821,-0.033074,-0.05643,0.015244,0.05047,0.008026,0.008523,-0.124855,-0.063106,0.010139,-0.007846,0.096512,-0.071427,0.049952,-0.048299,-0.081001,-0.08791,-0.198623,-0.174586,-0.109529,-0.283795,-0.080796,-0.060086,-0.053082,-0.124423,0.21385,0.008962,-0.06202,0.051006,0.021569,0.022824,0.219571,0.057183,-0.017215,0.141718,-0.082429,0.018684,-0.052396,-0.064643,-0.032873,-0.10015,-0.05347,-0.072219,-0.087099,-0.081515,0.075552,1,1,1,1,1,0,0,1,1,0,0,1,1,0
