@relation MultiLabelData_3

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute Att31 numeric
@attribute Att32 numeric
@attribute Att33 numeric
@attribute Att34 numeric
@attribute Att35 numeric
@attribute Att36 numeric
@attribute Att37 numeric
@attribute Att38 numeric
@attribute Att39 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att43 numeric
@attribute Att44 numeric
@attribute Att45 numeric
@attribute Att46 numeric
@attribute Att47 numeric
@attribute Att48 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att51 numeric
@attribute Att52 numeric
@attribute Att53 numeric
@attribute Att54 numeric
@attribute Att55 numeric
@attribute Att56 numeric
@attribute Att57 numeric
@attribute Att58 numeric
@attribute Att59 numeric
@attribute Att60 numeric
@attribute Att61 numeric
@attribute Att62 numeric
@attribute Att63 numeric
@attribute Att64 numeric
@attribute Att65 numeric
@attribute Att66 numeric
@attribute Att67 numeric
@attribute Att68 numeric
@attribute Att69 numeric
@attribute Att70 numeric
@attribute Att71 numeric
@attribute Att72 numeric
@attribute Att73 numeric
@attribute Att74 numeric
@attribute Att75 numeric
@attribute Att76 numeric
@attribute Att77 numeric
@attribute Att78 numeric
@attribute Att79 numeric
@attribute Att80 numeric
@attribute Att81 numeric
@attribute Att82 numeric
@attribute Att83 numeric
@attribute Att84 numeric
@attribute Att85 numeric
@attribute Att86 numeric
@attribute Att87 numeric
@attribute Att88 numeric
@attribute Att89 numeric
@attribute Att90 numeric
@attribute Att91 numeric
@attribute Att92 numeric
@attribute Att93 numeric
@attribute Att94 numeric
@attribute Att95 numeric
@attribute Att96 numeric
@attribute Att97 numeric
@attribute Att98 numeric
@attribute Att99 numeric
@attribute Att100 numeric
@attribute Att101 numeric
@attribute Att102 numeric
@attribute Att103 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}

@data
0.054969,0.020379,0.153914,0.179673,0.242846,-0.045052,0.110075,-0.117739,-0.07063,-0.070525,-0.035287,0.040988,0.186603,-0.073991,-0.032143,-0.157438,0.007409,-0.064197,-0.127303,-0.130824,-0.217688,-0.00301,0.020455,0.183378,0.031317,0.013161,0.127469,0.12822,0.001891,0.055427,0.014142,0.09309,0.174031,0.063951,0.02865,0.01632,0.084713,-0.004106,0.117136,0.073379,-0.00232,-0.035407,-0.033963,-0.323223,-0.049443,-0.115311,-0.080043,-0.124337,-0.0516,-0.002679,0.065388,-0.033079,-0.02456,-0.050571,-0.005043,-0.107145,-0.089824,-0.04523,0.132425,-0.00351,-0.028274,0.07488,0.098395,0.022041,0.097325,-0.239507,0.108844,0.201765,-0.09998,-0.012714,-0.063106,0.047243,-0.003522,0.000153,0.041783,-0.062743,0.008461,0.008035,0.084721,-0.102373,-0.111776,0.068838,-0.102783,0.067439,0.039404,0.006304,0.093117,0.034739,0.067401,-0.066347,-0.072904,-0.119875,0.098932,-0.129747,-0.116494,0.069983,0.117953,0.110653,0.046236,0.04679,-0.127739,-0.108816,0.03541,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.063912,-0.119572,0.002114,0.07447,0.113492,-0.020654,-0.011775,-0.093608,-0.151905,-0.02137,-0.040185,0.127261,-0.011375,0.105823,0.045589,0.004535,0.028882,-0.067375,-0.079053,0.01259,-0.061864,-0.085781,-0.085739,0.019037,0.013514,0.087868,0.018199,0.064878,-0.02591,-0.032971,-0.023115,0.021527,-0.099094,-0.036802,0.050823,-0.154481,-0.055362,0.599591,-0.010772,0.245396,0.147708,-0.126839,0.004315,0.00668,-0.241792,0.066306,-0.185008,-0.094358,0.139632,0.143099,0.071772,0.034633,0.08546,-0.090124,-0.168986,-0.124581,0.16577,0.103254,-0.036599,0.042069,-0.036657,-0.013625,0.087065,-0.003292,-0.101178,-0.101063,0.032776,-0.03273,-0.060251,-0.10713,-0.072261,-0.021741,-0.014769,-0.02709,-0.052194,0.04794,-0.038543,-0.084277,0.045235,0.017185,-0.022022,0.021036,-0.015441,-0.059404,0.04034,0.010662,-0.010768,-0.03468,0.000707,-0.033633,-0.03985,-0.018391,-0.037376,-0.006012,-0.020499,-0.018711,-0.021768,-0.022997,-0.00983,-0.025898,-0.015754,0.025669,0.128557,0,0,1,1,1,0,0,0,0,0,0,0,0,1
0.023271,0.025207,-0.339195,0.007792,-0.138305,0.246163,0.011256,0.089425,-0.035296,-0.163233,-0.15102,-0.114231,-0.033542,0.03868,0.028557,0.033187,0.052821,0.023087,-0.033777,-0.037653,-0.016071,0.07106,-0.07248,0.04487,-0.053146,-0.032635,-0.0862,0.003463,0.111696,-0.036649,0.045247,0.024361,0.226664,0.10398,0.127578,0.094945,0.001538,0.064607,-0.173478,0.009964,-0.416554,0.009879,0.119169,0.21858,-0.126528,-0.085554,-0.008063,-0.066268,0.127333,0.139646,0.128472,0.124816,0.158191,-0.053974,-0.014189,-0.081092,-0.001478,0.029758,-0.048097,-0.031431,0.018403,-0.089744,-0.063205,-0.02036,0.113829,-0.033866,0.084702,0.101428,-0.076846,0.03671,-0.051078,0.058002,0.020277,-0.117468,-0.077903,-0.009762,-0.05219,-0.13046,-0.25503,0.011059,-0.016363,-0.029951,-0.004398,-0.054978,-0.002949,0.007939,-0.011342,-0.030491,-0.021491,-0.027388,-0.030519,0.001498,-0.028103,0.001762,-0.007151,-0.018324,-0.013667,-0.022042,-0.001718,-0.020054,-0.010424,0.031795,0.125155,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.037708,-0.01143,0.018475,0.047561,0.014016,0.044197,0.050027,0.051379,0.037797,0.001919,0.014503,0.002156,-0.005573,0.00031,-0.003912,-0.00385,-0.024323,-0.000534,0.094189,0.084888,0.076554,0.051212,-0.040178,-0.049808,-0.037793,-0.081272,-0.016011,-0.027441,0.009356,-0.000728,0.067441,-0.039891,-0.124988,-0.237457,-0.287986,-0.263146,-0.220341,-0.238206,-0.231195,-0.230207,-0.213624,-0.048167,-0.044664,-0.009615,0.031795,-0.006021,0.003636,0.109555,0.012222,0.103987,0.056116,0.013902,-0.001045,-0.090254,0.035401,-0.053605,0.069919,0.11815,0.02799,0.109052,0.144065,0.076426,0.102521,0.108926,0.018768,0.070596,0.129367,0.063664,0.01398,-0.059963,0.005644,-0.002554,0.018728,-0.005373,-0.083132,0.029958,0.073131,0.02926,0.09864,-0.070778,-0.089946,-0.100609,0.115428,0.088124,-0.091169,-0.09344,-0.094075,0.112371,0.160296,0.139225,0.125899,-0.091336,-0.086674,-0.09753,-0.090735,0.139799,-0.082029,-0.083212,0.126565,-0.008303,-0.092499,0.215109,-0.025868,0,0,0,0,0,0,0,0,0,1,1,1,1,0
0.1274,0.014678,-0.117217,0.001572,-0.152734,0.156189,-0.031469,-0.103155,-0.086413,-0.060088,-0.01546,-0.034864,0.099577,-0.04687,0.081554,0.090027,0.127677,-0.080603,0.077622,0.082367,-0.058832,-0.022792,-0.034094,-0.02292,0.018808,-0.071497,-0.08954,0.087866,-0.105226,0.089854,0.058988,-0.024324,-0.24598,0.113532,0.03662,-0.16625,-0.017039,-0.080842,-0.062798,-0.026195,0.035349,-0.101644,-0.143989,0.109928,0.091541,-0.017778,0.042552,-0.100929,0.040354,0.13171,0.092796,0.05376,0.112223,-0.126975,-0.034871,-0.0664,0.107214,0.125365,-0.072497,0.035312,0.020698,0.128053,0.063402,-0.042524,-0.121159,-0.107564,-0.234707,0.051716,0.160147,-0.042854,0.087532,0.070722,-0.072628,-0.092654,-0.153765,-0.109739,-0.117076,-0.086121,-0.060682,-0.052833,-0.059025,-0.097881,-0.089176,0.083504,0.222267,0.230885,0.115375,-0.081393,-0.088496,-0.09894,-0.096312,0.12734,-0.073385,0.175803,-0.092314,0.108596,-0.040551,-0.051335,-0.085558,0.120184,-0.056831,-0.064139,0.014322,1,1,1,1,0,0,0,0,0,0,0,1,1,0
-0.00526,-0.076945,-0.137308,0.01139,-0.087529,-0.023109,-0.049038,-0.017371,-0.075496,0.023772,-0.003218,0.094214,-0.110665,-0.052022,-0.042652,0.132458,-0.031362,0.006386,-0.020593,0.098876,0.078288,0.073502,-0.079451,0.013933,0.03802,0.06712,0.124973,0.125709,0.014781,0.188468,-0.082219,0.104208,0.0222,0.035485,-0.071245,-0.050551,-0.062638,0.001542,0.055386,0.242223,0.042432,-0.078068,-0.090752,-0.101312,-0.125807,-0.090436,-0.074989,0.030545,-0.049725,-0.053935,-0.075878,-0.040613,-0.004481,0.011251,-0.016657,0.031103,0.003491,0.017303,0.055279,0.068663,-0.0042,0.173981,0.113866,0.097476,-0.224936,-0.080555,-0.06899,-0.073803,0.149529,-0.082713,0.193595,0.216418,0.045932,0.063179,-0.067226,-0.065957,-0.040801,-0.109751,-0.064005,0.349752,0.353468,-0.066102,-0.053028,-0.089843,-0.041148,-0.028889,-0.064995,-0.050921,-0.05745,-0.033924,-0.036109,-0.065824,0.102127,-0.049977,0.245245,-0.038341,-0.007842,-0.010188,-0.031326,-0.093676,-0.04679,-0.012777,-0.072997,0,0,1,1,0,0,0,0,0,0,0,1,1,0
0.022351,-0.050449,0.064693,-0.05669,0.090199,0.040994,0.119828,0.082376,-0.004435,0.056049,0.001099,0.107406,0.10218,-0.03933,0.020093,0.036064,0.070576,0.224668,-0.058788,0.000576,-0.198755,-0.093657,-0.030383,0.012344,-0.062448,0.073152,0.016666,0.064374,-0.064337,-0.139969,0.132206,0.077778,-0.179659,-0.139418,-0.008284,-0.054421,-0.083111,-0.073658,-0.02006,-0.068036,0.04182,-0.058248,-0.049543,-0.159059,-0.022188,-0.121501,-0.080305,-0.032595,0.025529,-0.011698,-0.01866,0.004751,0.020995,-0.015196,0.133031,-0.043857,0.063926,-0.038494,0.10377,-0.005228,0.104602,-0.109009,0.036242,0.353944,0.014841,-0.015821,0.022747,0.0472,-0.118605,0.15578,-0.032067,-0.05262,-0.055482,-0.065443,0.013671,0.136322,0.143535,0.036436,-0.015554,0.121858,0.038233,0.292856,0.117746,0.069852,-0.023456,0.294452,-0.136349,-0.1256,-0.003962,0.050634,-0.0541,0.097277,0.105274,-0.063657,-0.058487,-0.125599,0.048607,0.010655,0.028504,-0.135361,-0.05264,-0.137489,-0.131664,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.010116,-0.011861,-0.050707,-0.001371,-0.103283,-0.075772,-0.073817,-0.080224,-0.058247,-0.083923,-0.0563,-0.139996,-0.042706,-0.046511,-0.065919,-0.08381,-0.185902,-0.089438,0.016306,-0.050465,0.014708,-0.014253,-0.027316,-0.012144,0.015027,0.027202,0.056904,0.070514,0.068148,0.088953,0.079674,0.033643,0.032177,-0.04983,-0.072572,-0.006651,0.060658,0.140377,0.198586,0.126741,0.112226,0.162258,0.190159,0.049229,0.274688,0.292106,0.264298,-0.079584,-0.048774,-0.037458,-0.046407,-0.04889,-0.03679,-0.030408,0.002911,0.000228,-0.069693,-0.051357,-0.063524,-0.026974,0.035652,-0.060045,-0.092982,-0.061608,0.021234,0.081713,0.06355,-0.008549,-0.074721,-0.015208,-0.072719,-0.006695,-0.108568,-0.090558,-0.092507,-0.027274,-0.040633,-0.020701,0.002846,-0.065641,-0.081118,0.093713,0.196451,0.191905,-0.077348,-0.078154,0.042414,-0.043729,0.130398,-0.062525,-0.002407,-0.023214,0.002719,0.349289,-0.079502,-0.074526,-0.07838,-0.078016,-0.007948,-0.086161,0.215517,-0.06564,-0.107636,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.006346,0.074232,0.042866,0.060214,-0.004134,0.139187,0.04483,-0.024457,0.042834,0.159299,0.042332,-0.000393,0.12353,0.030401,0.056705,-0.023686,-0.072127,0.011692,0.076939,0.175074,0.093425,-0.001015,0.119912,0.129677,0.122834,0.227375,0.175305,0.161889,0.169198,0.164922,0.149897,0.291641,-0.054737,-0.04495,-0.030033,0.053158,0.071358,0.053274,0.01671,0.000929,-0.018627,-0.019518,0.067176,-0.031348,-0.055971,-0.136008,-0.039841,0.00594,0.012959,-0.084289,-0.162823,-0.120476,-0.070616,0.159894,-0.082411,-0.021422,-0.010284,-0.096623,0.019253,-0.080915,-0.125801,-0.131714,-0.008245,0.003992,0.222047,-0.079121,0.134985,0.171057,-0.067873,-0.152961,-0.167621,-0.201791,-0.002816,-0.075952,-0.019015,0.065174,0.119211,-0.061392,-0.13727,-0.057232,-0.074557,-0.095499,-0.076764,0.038257,0.013531,-0.007002,0.02471,0.025558,0.134995,-0.09776,-0.093812,-0.077027,-0.023483,-0.056818,-0.075311,0.128821,0.090155,0.060219,-0.060913,0.010641,-0.019533,0.027635,0.088285,1,1,0,0,0,0,0,0,0,0,0,1,1,0
-0.039733,0.055488,0.050971,0.042244,-0.057881,-0.105971,-0.090243,0.071469,-0.220577,0.015087,-0.125296,0.005369,-0.133002,-0.072905,-0.260058,0.039389,-0.103971,-0.002686,0.158617,0.051976,-0.077714,-0.022518,-0.175382,-0.236878,-0.223741,-0.083649,-0.015033,-0.012609,-0.12642,0.061576,0.166037,0.191401,-0.120132,-0.030179,-0.070453,-0.053065,-0.139039,-0.023062,-0.11638,0.02003,-0.045233,0.025391,-0.093466,0.076795,-0.044324,-0.03238,-0.148248,0.104752,-0.047639,0.005197,0.005996,-0.002476,0.0124,0.006747,0.019584,0.051688,0.040501,0.029707,0.225396,0.191241,0.152563,0.061842,0.03743,0.11331,0.124977,0.023942,0.144806,0.135587,-0.139001,-0.086049,-0.138587,-0.127098,-0.186975,-0.063967,0.057119,0.204425,0.010468,0.180176,0.164379,0.008852,-0.019089,-0.022015,-0.022746,-0.04317,0.000319,-0.010552,0.012917,0.044865,-0.03091,-0.002147,-0.039299,-0.010872,-0.020984,0.009244,-0.023509,0.00435,-0.018111,-0.028161,-0.010023,-0.039605,-0.022067,0.009991,0.108368,0,0,1,1,0,0,0,0,0,0,0,1,1,0
