Generation, Fitness
0,9787.16254375
1,9787.16254375
2,9787.16254375
3,9787.16254375
4,9787.16254375
5,9787.16254375
6,9787.16254375
7,9787.16254375
8,9787.16254375
9,9787.16254375
10,9787.16254375
11,9787.16254375
12,9787.16254375
13,9787.16254375
14,9787.16254375
15,9787.16254375
16,9787.16254375
17,9787.16254375
18,9787.16254375
19,9787.16254375
20,9787.16254375
21,9787.16254375
22,9787.16254375
23,9787.16254375
24,9787.16254375
25,9787.16254375
26,9787.16254375
27,9787.16254375
28,9787.16254375
29,9787.16254375
30,9787.16254375
31,9787.16254375
32,9787.16254375
33,9787.16254375
34,9787.16254375
35,9787.16254375
36,9787.16254375
37,9787.16254375
38,9787.16254375
39,9787.16254375
40,9787.16254375
41,9787.16254375
42,9787.16254375
43,9787.16254375
44,9787.16254375
45,9787.16254375
46,9787.16254375
47,9787.16254375
48,9787.16254375
49,9787.16254375
50,9787.16254375
51,9787.16254375
52,9787.16254375
53,9787.16254375
54,9787.16254375
55,9787.16254375
56,9787.16254375
57,9787.16254375
58,9787.16254375
59,9787.16254375
60,9787.16254375
61,9787.16254375
62,9787.16254375
63,9787.16254375
64,9787.16254375
65,9787.16254375
66,9787.16254375
67,9787.16254375
68,9787.16254375
69,9787.16254375
70,9787.16254375
71,9787.16254375
72,9787.16254375
73,9787.16254375
74,9787.16254375
75,9787.16254375
76,9787.16254375
77,9787.16254375
78,9787.16254375
79,9787.16254375
80,9787.16254375
81,9787.16254375
82,9787.16254375
83,9787.16254375
84,9787.16254375
85,9787.16254375
86,9787.16254375
87,9787.16254375
88,9787.16254375
89,9787.16254375
90,9787.16254375
91,9787.16254375
92,9787.16254375
93,9787.16254375
94,9787.16254375
95,9787.16254375
96,9787.16254375
97,9787.16254375
98,9787.16254375
99,9787.16254375
100,9787.16254375
101,9787.16254375
102,9787.16254375
103,9787.16254375
104,9787.16254375
105,9787.16254375
106,9787.16254375
107,9787.16254375
108,9787.16254375
109,9787.16254375
110,9787.16254375
111,9787.16254375
112,9787.16254375
113,9787.16254375
114,9787.16254375
115,9787.16254375
116,9787.16254375
117,9787.16254375
118,9787.16254375
119,9787.16254375
120,9787.16254375
121,9787.16254375
122,9787.16254375
123,9787.16254375
124,9787.16254375
125,9787.16254375
126,9787.16254375
127,9787.16254375
128,9787.16254375
129,9787.16254375
130,9787.16254375
131,9787.16254375
132,9787.16254375
133,9787.16254375
134,9787.16254375
135,9787.16254375
136,9787.16254375
137,9787.16254375
138,9787.16254375
139,9787.16254375
140,9787.16254375
141,9787.16254375
142,9787.16254375
143,9787.16254375
144,9787.16254375
145,9787.16254375
146,9787.16254375
147,9787.16254375
148,9787.16254375
149,9787.16254375
150,9787.16254375
151,9787.16254375
152,9787.16254375
153,9787.16254375
154,9787.16254375
155,9787.16254375
156,9787.16254375
157,9787.16254375
158,9787.16254375
159,9787.16254375
160,9787.16254375
161,9787.16254375
162,9787.16254375
163,9787.16254375
164,9787.16254375
165,9787.16254375
166,9787.16254375
167,9787.16254375
168,9787.16254375
169,9787.16254375
170,9787.16254375
171,9787.16254375
172,9787.16254375
173,9787.16254375
174,9787.16254375
175,9787.16254375
176,9787.16254375
177,9787.16254375
178,9787.16254375
179,9787.16254375
180,9787.16254375
181,9787.16254375
182,9787.16254375
183,9787.16254375
184,9787.16254375
185,9787.16254375
186,9787.16254375
187,9787.16254375
188,9787.16254375
189,9787.16254375
190,9787.16254375
191,9787.16254375
192,9787.16254375
193,9787.16254375
194,9787.16254375
195,9787.16254375
196,9787.16254375
197,9787.16254375
198,9787.16254375
199,9787.16254375
200,9787.16254375
201,9787.16254375
202,9787.16254375
203,9787.16254375
204,9787.16254375
205,9787.16254375
206,9787.16254375
207,9787.16254375
208,9787.16254375
209,9787.16254375
210,9787.16254375
211,9787.16254375
212,9787.16254375
213,9787.16254375
214,9787.16254375
215,9787.16254375
216,9787.16254375
217,9787.16254375
218,9787.16254375
219,9787.16254375
220,9787.16254375
221,9787.16254375
222,9787.16254375
223,9787.16254375
224,9787.16254375
225,9787.16254375
226,9787.16254375
227,9787.16254375
228,9787.16254375
229,9787.16254375
230,9787.16254375
231,9787.16254375
232,9787.16254375
233,9787.16254375
234,9787.16254375
235,9787.16254375
236,9787.16254375
237,9787.16254375
238,9787.16254375
239,9787.16254375
240,9787.16254375
241,9787.16254375
242,9787.16254375
243,9787.16254375
244,9787.16254375
245,9787.16254375
246,9787.16254375
247,9787.16254375
248,9787.16254375
249,9787.16254375
250,9787.16254375
251,9787.16254375
252,9787.16254375
253,9787.16254375
254,9787.16254375
255,9787.16254375
256,9787.16254375
257,9787.16254375
258,9787.16254375
259,9787.16254375
260,9787.16254375
261,9787.16254375
262,9787.16254375
263,9787.16254375
264,9787.16254375
265,9787.16254375
266,9787.16254375
267,9787.16254375
268,9787.16254375
269,9787.16254375
270,9787.16254375
271,9787.16254375
272,9787.16254375
273,9787.16254375
274,9787.16254375
275,9787.16254375
276,9787.16254375
277,9787.16254375
278,9787.16254375
279,9787.16254375
280,9787.16254375
281,9787.16254375
282,9787.16254375
283,9787.16254375
284,9787.16254375
285,9787.16254375
286,9787.16254375
287,9787.16254375
288,9787.16254375
289,9787.16254375
290,9787.16254375
291,9787.16254375
292,9787.16254375
293,9787.16254375
294,9787.16254375
295,9787.16254375
296,9787.16254375
297,9787.16254375
298,9787.16254375
299,9787.16254375
300,9787.16254375
301,9787.16254375
302,9787.16254375
303,9787.16254375
304,9787.16254375
305,9787.16254375
306,9787.16254375
307,9787.16254375
308,9787.16254375
309,9787.16254375
310,9787.16254375
311,9787.16254375
312,9787.16254375
313,9787.16254375
314,9787.16254375
315,9787.16254375
316,9787.16254375
317,9787.16254375
318,9787.16254375
319,9787.16254375
320,9787.16254375
321,9787.16254375
322,9787.16254375
323,9787.16254375
324,9787.16254375
325,9787.16254375
326,9787.16254375
327,9787.16254375
328,9787.16254375
329,9787.16254375
330,9787.16254375
331,9787.16254375
332,9787.16254375
333,9787.16254375
334,9787.16254375
335,9787.16254375
336,9787.16254375
337,9787.16254375
338,9787.16254375
339,9787.16254375
340,9787.16254375
341,9787.16254375
342,9787.16254375
343,9787.16254375
344,9787.16254375
345,9787.16254375
346,9787.16254375
347,9787.16254375
348,9787.16254375
349,9787.16254375
350,9787.16254375
351,9787.16254375
352,9787.16254375
353,9787.16254375
354,9787.16254375
355,9787.16254375
356,9787.16254375
357,9787.16254375
358,9787.16254375
359,9787.16254375
360,9787.16254375
361,9787.16254375
362,9787.16254375
363,9787.16254375
364,9787.16254375
365,9787.16254375
366,9787.16254375
367,9787.16254375
368,9787.16254375
369,9787.16254375
370,9787.16254375
371,9787.16254375
372,9787.16254375
373,9787.16254375
374,9787.16254375
375,9787.16254375
376,9787.16254375
377,9787.16254375
378,9787.16254375
379,9787.16254375
380,9787.16254375
381,9787.16254375
382,9787.16254375
383,9787.16254375
384,9787.16254375
385,9787.16254375
386,9787.16254375
387,9787.16254375
388,9787.16254375
389,9787.16254375
390,9787.16254375
391,9787.16254375
392,9787.16254375
393,9787.16254375
394,9787.16254375
395,9787.16254375
396,9787.16254375
397,9787.16254375
398,9787.16254375
399,9787.16254375
400,9787.16254375
401,9787.16254375
402,9787.16254375
403,9787.16254375
404,9787.16254375
405,9787.16254375
406,9787.16254375
407,9787.16254375
408,9787.16254375
409,9787.16254375
410,9787.16254375
411,9787.16254375
412,9787.16254375
413,9787.16254375
414,9787.16254375
415,9787.16254375
416,9787.16254375
417,9787.16254375
418,9787.16254375
419,9787.16254375
420,9787.16254375
421,9787.16254375
422,9787.16254375
423,9787.16254375
424,9787.16254375
425,9787.16254375
426,9787.16254375
427,9787.16254375
428,9787.16254375
429,9787.16254375
430,9787.16254375
431,9787.16254375
432,9787.16254375
433,9787.16254375
434,9787.16254375
435,9787.16254375
436,9787.16254375
437,9787.16254375
438,9787.16254375
439,9787.16254375
440,9787.16254375
441,9787.16254375
442,9787.16254375
443,9787.16254375
444,9787.16254375
445,9787.16254375
446,9787.16254375
447,9787.16254375
448,9787.16254375
449,9787.16254375
450,9787.16254375
451,9787.16254375
452,9787.16254375
453,9787.16254375
454,9787.16254375
455,9787.16254375
456,9787.16254375
457,9787.16254375
458,9787.16254375
459,9787.16254375
460,9787.16254375
461,9787.16254375
462,9787.16254375
463,9787.16254375
464,9787.16254375
465,9787.16254375
466,9787.16254375
467,9787.16254375
468,9787.16254375
469,9787.16254375
470,9787.16254375
471,9787.16254375
472,9787.16254375
473,9787.16254375
474,9787.16254375
475,9787.16254375
476,9787.16254375
477,9787.16254375
478,9787.16254375
479,9787.16254375
480,9787.16254375
481,9787.16254375
482,9787.16254375
483,9787.16254375
484,9787.16254375
485,9787.16254375
486,9787.16254375
487,9787.16254375
488,9787.16254375
489,9787.16254375
490,9787.16254375
491,9787.16254375
492,9787.16254375
493,9787.16254375
494,9787.16254375
495,9787.16254375
496,9787.16254375
497,9787.16254375
498,9787.16254375
499,9787.16254375
