Generation, Fitness
0,9999.3674
1,9999.3674
2,9999.3674
3,9999.3674
4,9999.3674
5,9999.3674
6,9999.3674
7,9999.3674
8,9999.3674
9,9999.3674
10,9999.3674
11,9999.3674
12,9999.3674
13,9999.3674
14,9999.3674
15,9999.3674
16,9999.3674
17,9999.3674
18,9999.3674
19,9999.3674
20,9999.3674
21,9999.3674
22,9999.3674
23,9999.3674
24,9999.3674
25,9999.3674
26,9999.3674
27,9999.3674
28,9999.3674
29,9999.3674
30,9999.3674
31,9999.3674
32,9999.3674
33,9999.3674
34,9999.3674
35,9999.3674
36,9999.3674
37,9999.3674
38,9999.3674
39,9999.3674
40,9999.3674
41,9999.3674
42,9999.3674
43,9999.3674
44,9999.3674
45,9999.3674
46,9999.3674
47,9999.3674
48,9999.3674
49,9999.3674
50,9999.3674
51,9999.3674
52,9999.3674
53,9999.3674
54,9999.3674
55,9999.3674
56,9999.3674
57,9999.3674
58,9999.3674
59,9999.3674
60,9999.3674
61,9999.3674
62,9999.3674
63,9999.3674
64,9999.3674
65,9999.3674
66,9999.3674
67,9999.3674
68,9999.3674
69,9999.3674
70,9999.3674
71,9999.3674
72,9999.3674
73,9999.3674
74,9999.3674
75,9999.3674
76,9999.3674
77,9999.3674
78,9999.3674
79,9999.3674
80,9999.3674
81,9999.3674
82,9999.3674
83,9999.3674
84,9999.3674
85,9999.3674
86,9999.3674
87,9999.3674
88,9999.3674
89,9999.3674
90,9999.3674
91,9999.3674
92,9999.3674
93,9999.3674
94,9999.3674
95,9999.3674
96,9999.3674
97,9999.3674
98,9999.3674
99,9999.3674
100,9999.3674
101,9999.3674
102,9999.3674
103,9999.3674
104,9999.3674
105,9999.3674
106,9999.3674
107,9999.3674
108,9999.3674
109,9999.3674
110,9999.3674
111,9999.3674
112,9999.3674
113,9999.3674
114,9999.3674
115,9999.3674
116,9999.3674
117,9999.3674
118,9999.3674
119,9999.3674
120,9999.3674
121,9999.3674
122,9999.3674
123,9999.3674
124,9999.3674
125,9999.3674
126,9999.3674
127,9999.3674
128,9999.3674
129,9999.3674
130,9999.3674
131,9999.3674
132,9999.3674
133,9999.3674
134,9999.3674
135,9999.3674
136,9999.3674
137,9999.3674
138,9999.3674
139,9999.3674
140,9999.3674
141,9999.3674
142,9999.3674
143,9999.3674
144,9999.3674
145,9999.3674
146,9999.3674
147,9999.3674
148,9999.3674
149,9999.3674
150,9999.3674
151,9999.3674
152,9999.3674
153,9999.3674
154,9999.3674
155,9999.3674
156,9999.3674
157,9999.3674
158,9999.3674
159,9999.3674
160,9999.3674
161,9999.3674
162,9999.3674
163,9999.3674
164,9999.3674
165,9999.3674
166,9999.3674
167,9999.3674
168,9999.3674
169,9999.3674
170,9999.3674
171,9999.3674
172,9999.3674
173,9999.3674
174,9999.3674
175,9999.3674
176,9999.3674
177,9999.3674
178,9999.3674
179,9999.3674
180,9999.3674
181,9999.3674
182,9999.3674
183,9999.3674
184,9999.3674
185,9999.3674
186,9999.3674
187,9999.3674
188,9999.3674
189,9999.3674
190,9999.3674
191,9999.3674
192,9999.3674
193,9999.3674
194,9999.3674
195,9999.3674
196,9999.3674
197,9999.3674
198,9999.3674
199,9999.3674
200,9999.3674
201,9999.3674
202,9999.3674
203,9999.3674
204,9999.3674
205,9999.3674
206,9999.3674
207,9999.3674
208,9999.3674
209,9999.3674
210,9999.3674
