Generation, Fitness
0,9641.02075625
1,9641.02075625
2,9641.02075625
3,9643.32821875
4,9643.32821875
5,9643.32821875
6,9647.91223125
7,9647.91223125
8,9647.91223125
9,9647.91223125
10,9647.91223125
11,9647.91223125
12,9647.91223125
13,9647.91223125
14,9647.91223125
15,9647.91223125
16,9647.91223125
17,9647.91223125
18,9647.91223125
19,9647.91223125
20,9647.91223125
21,9653.44561875
22,9653.44561875
23,9653.44561875
24,9653.44561875
25,9653.44561875
26,9653.44561875
27,9653.44561875
28,9653.44561875
29,9653.44561875
30,9653.44561875
31,9653.44561875
32,9653.44561875
33,9653.44561875
34,9653.44561875
35,9653.44561875
36,9653.44561875
37,9653.44561875
38,9653.44561875
39,9653.44561875
40,9653.44561875
41,9653.44561875
42,9653.44561875
43,9653.44561875
44,9653.44561875
45,9653.44561875
46,9653.44561875
47,9653.44561875
48,9653.44561875
49,9653.44561875
50,9653.44561875
51,9653.44561875
52,9653.44561875
