Generation, Fitness
0,9999.5305375
1,9999.5332625
2,9999.5344375
3,9999.5344375
4,9999.5344375
5,9999.53885
6,9999.53885
7,9999.53885
8,9999.53885
9,9999.53885
10,9999.53885
11,9999.53885
12,9999.53885
13,9999.53885
14,9999.53885
15,9999.53885
16,9999.53885
17,9999.53885
18,9999.53885
19,9999.53885
20,9999.53885
21,9999.53885
22,9999.53885
23,9999.53885
24,9999.53885
25,9999.53885
26,9999.53885
27,9999.53885
28,9999.53885
29,9999.53885
30,9999.53885
31,9999.53885
32,9999.53885
33,9999.53885
34,9999.53885
35,9999.53885
36,9999.53885
