Generation, Fitness
0,9946.20651875
1,9946.23723125
2,9946.33245625
3,9946.346425
4,9946.346425
5,9946.50666875
6,9946.50666875
7,9946.599825
8,9946.599825
9,9946.599825
10,9946.599825
11,9946.599825
12,9946.599825
13,9946.599825
14,9946.599825
15,9946.599825
16,9946.599825
17,9946.599825
18,9946.599825
19,9946.599825
20,9946.599825
21,9946.599825
22,9946.599825
23,9946.7429375
24,9946.7429375
25,9946.7429375
26,9946.7429375
27,9946.7429375
28,9946.7429375
29,9946.7429375
30,9946.7429375
31,9946.7429375
32,9946.7429375
33,9946.7429375
34,9946.7429375
35,9946.7429375
36,9946.7429375
37,9946.7429375
38,9946.7429375
39,9946.7429375
40,9946.7429375
41,9946.7429375
42,9946.7429375
43,9946.7429375
44,9946.7429375
45,9946.7429375
46,9946.7429375
47,9946.7429375
48,9946.7429375
49,9946.7429375
50,9946.7429375
51,9946.7429375
52,9946.7429375
53,9946.7429375
54,9946.7429375
