Generation, Fitness
0,9663.1953625
1,9665.748125
2,9666.78881875
3,9668.3037875
4,9668.3037875
5,9668.3037875
6,9668.3037875
7,9668.3037875
8,9668.457775
9,9669.00159375
10,9669.00159375
11,9669.00159375
12,9669.00159375
13,9669.00159375
14,9669.00159375
15,9669.00159375
16,9669.00159375
17,9669.00159375
18,9669.00159375
19,9669.00159375
20,9669.00159375
21,9669.00159375
22,9669.00159375
23,9669.00159375
24,9669.5081125
25,9669.5081125
26,9669.5081125
27,9669.5081125
28,9669.5081125
29,9669.5081125
30,9669.5081125
31,9669.5081125
32,9669.5081125
33,9669.5081125
34,9669.5081125
35,9669.5081125
36,9669.5081125
37,9669.5081125
38,9669.5081125
39,9669.5081125
40,9670.7888375
41,9671.0114375
42,9671.0114375
43,9671.16843125
44,9671.16843125
45,9671.16843125
46,9671.16843125
47,9671.16843125
48,9671.16843125
49,9671.16843125
50,9671.16843125
51,9671.16843125
52,9671.16843125
53,9671.16843125
54,9671.16843125
55,9671.16843125
56,9671.16843125
57,9671.16843125
58,9671.16843125
59,9671.447975
60,9671.447975
61,9671.447975
62,9671.447975
63,9671.447975
64,9671.447975
65,9671.447975
66,9671.447975
67,9671.447975
68,9671.447975
69,9671.447975
70,9671.447975
71,9671.447975
72,9671.447975
73,9671.447975
74,9671.447975
75,9671.447975
76,9671.447975
77,9671.447975
78,9671.447975
79,9671.447975
80,9671.447975
81,9671.447975
82,9671.447975
83,9671.447975
84,9671.447975
85,9671.447975
86,9671.447975
87,9671.447975
88,9671.447975
89,9671.447975
90,9671.447975
