Generation, Fitness
0,9999.517225
1,9999.5189125
2,9999.5189125
3,9999.5189125
4,9999.5189125
5,9999.5189125
6,9999.5189125
7,9999.5189125
8,9999.5189125
9,9999.5189125
10,9999.5189125
11,9999.5189125
12,9999.5189125
13,9999.5189125
14,9999.5189125
15,9999.5189125
16,9999.5189125
17,9999.5189125
18,9999.5189125
19,9999.5189125
20,9999.5189125
21,9999.5189125
22,9999.5189125
23,9999.5189125
24,9999.5189125
25,9999.525
26,9999.525
27,9999.525
28,9999.525
29,9999.525
30,9999.525
31,9999.525
32,9999.525
33,9999.5250875
34,9999.5250875
35,9999.5250875
36,9999.5250875
37,9999.5250875
38,9999.5250875
39,9999.5250875
40,9999.5250875
41,9999.5250875
42,9999.5250875
43,9999.5250875
44,9999.5250875
45,9999.5250875
46,9999.5250875
47,9999.5250875
48,9999.5250875
49,9999.5250875
50,9999.5250875
51,9999.5250875
52,9999.5250875
53,9999.5250875
54,9999.5250875
55,9999.5250875
56,9999.5250875
57,9999.5250875
58,9999.5250875
59,9999.5250875
60,9999.5250875
61,9999.5250875
62,9999.5250875
63,9999.5250875
64,9999.5250875
