Generation, Fitness
0,9945.6368875
1,9945.7761625
2,9945.9334375
3,9946.04104375
4,9946.04104375
5,9946.04104375
6,9946.1436875
7,9946.1436875
8,9946.1436875
9,9946.1436875
10,9946.1436875
11,9946.1436875
12,9946.1436875
13,9946.1436875
14,9946.1436875
15,9946.1436875
16,9946.1436875
17,9946.1436875
18,9946.1436875
19,9946.1436875
20,9946.1436875
21,9946.1436875
22,9946.1436875
23,9946.1436875
24,9946.1436875
25,9946.1436875
26,9946.1436875
27,9946.1436875
28,9946.1436875
29,9946.1436875
30,9946.1436875
31,9946.1436875
32,9946.1436875
33,9946.1812
34,9946.1812
35,9946.1812
36,9946.1812
37,9946.21618125
38,9946.21618125
39,9946.21618125
40,9946.21618125
41,9946.21618125
42,9946.21618125
43,9946.21618125
44,9946.21618125
45,9946.21618125
46,9946.21618125
47,9946.21618125
48,9946.21618125
49,9946.21618125
50,9946.21618125
51,9946.21618125
52,9946.21618125
53,9946.21618125
54,9946.21618125
55,9946.27538125
56,9946.27538125
57,9946.27538125
58,9946.27538125
59,9946.27538125
60,9946.27538125
61,9946.27538125
62,9946.27538125
63,9946.27538125
64,9946.27538125
65,9946.27538125
66,9946.27538125
67,9946.27538125
68,9946.27538125
69,9946.27538125
70,9946.27538125
71,9946.27538125
72,9946.27538125
73,9946.27538125
74,9946.27538125
75,9946.27538125
76,9946.27538125
77,9946.27538125
78,9946.27538125
79,9946.27538125
80,9946.27538125
81,9946.27538125
82,9946.27538125
83,9946.27538125
84,9946.27538125
85,9946.27538125
86,9946.27538125
