Generation, Fitness
0,9999.1558125
1,9999.1774375
2,9999.177575
3,9999.17975
4,9999.17975
5,9999.17975
6,9999.17975
7,9999.17975
8,9999.17975
9,9999.17975
10,9999.17975
11,9999.17975
12,9999.17975
13,9999.17975
14,9999.17975
15,9999.17975
16,9999.17975
17,9999.17975
18,9999.17975
19,9999.17975
20,9999.17975
21,9999.17975
22,9999.17975
23,9999.17975
24,9999.17975
25,9999.17975
26,9999.17975
27,9999.17975
28,9999.17975
29,9999.17975
30,9999.17975
31,9999.17975
32,9999.17975
33,9999.17975
34,9999.17975
35,9999.17975
36,9999.17975
37,9999.17975
38,9999.17975
39,9999.17975
40,9999.17975
41,9999.17975
42,9999.17975
43,9999.17975
44,9999.17975
45,9999.17975
46,9999.17975
47,9999.17975
48,9999.17975
49,9999.17975
50,9999.17975
51,9999.17975
52,9999.17975
53,9999.17975
54,9999.17975
55,9999.17975
56,9999.17975
57,9999.17975
58,9999.17975
59,9999.17975
60,9999.17975
61,9999.17975
62,9999.17975
63,9999.17975
64,9999.17975
65,9999.17975
66,9999.17975
67,9999.17975
68,9999.17975
69,9999.17975
70,9999.17975
71,9999.17975
72,9999.17975
73,9999.17975
74,9999.17975
75,9999.17975
76,9999.17975
77,9999.17975
78,9999.17975
79,9999.17975
80,9999.17975
81,9999.17975
82,9999.17975
83,9999.17975
84,9999.17975
85,9999.17975
86,9999.17975
87,9999.17975
88,9999.17975
89,9999.17975
90,9999.17975
91,9999.17975
92,9999.17975
93,9999.17975
94,9999.17975
95,9999.17975
96,9999.17975
97,9999.17975
98,9999.17975
99,9999.17975
100,9999.17975
101,9999.17975
102,9999.17975
103,9999.17975
104,9999.17975
105,9999.17975
106,9999.17975
107,9999.17975
108,9999.17975
109,9999.17975
110,9999.17975
111,9999.17975
112,9999.17975
113,9999.17975
114,9999.17975
115,9999.17975
116,9999.17975
117,9999.17975
118,9999.17975
119,9999.17975
120,9999.17975
121,9999.17975
122,9999.17975
123,9999.17975
124,9999.17975
125,9999.17975
126,9999.17975
127,9999.17975
128,9999.17975
129,9999.17975
130,9999.17975
131,9999.17975
132,9999.17975
133,9999.17975
134,9999.17975
135,9999.17975
136,9999.17975
137,9999.17975
138,9999.17975
139,9999.17975
140,9999.17975
141,9999.17975
142,9999.17975
143,9999.17975
144,9999.17975
145,9999.17975
146,9999.17975
147,9999.17975
148,9999.17975
149,9999.17975
150,9999.17975
151,9999.17975
152,9999.17975
153,9999.17975
154,9999.17975
155,9999.17975
156,9999.17975
157,9999.17975
158,9999.17975
159,9999.17975
160,9999.17975
161,9999.17975
162,9999.17975
163,9999.17975
164,9999.17975
165,9999.17975
166,9999.17975
167,9999.17975
168,9999.17975
169,9999.17975
170,9999.17975
171,9999.17975
172,9999.17975
173,9999.17975
174,9999.17975
175,9999.17975
176,9999.17975
177,9999.17975
178,9999.17975
179,9999.17975
180,9999.17975
181,9999.17975
182,9999.17975
183,9999.17975
184,9999.17975
185,9999.17975
186,9999.17975
187,9999.17975
188,9999.17975
189,9999.17975
190,9999.17975
191,9999.17975
192,9999.17975
193,9999.17975
194,9999.17975
195,9999.17975
196,9999.17975
197,9999.17975
198,9999.17975
199,9999.17975
200,9999.17975
201,9999.17975
202,9999.17975
203,9999.17975
204,9999.17975
205,9999.17975
206,9999.17975
207,9999.17975
208,9999.17975
209,9999.17975
210,9999.17975
211,9999.17975
212,9999.17975
213,9999.17975
214,9999.17975
215,9999.17975
216,9999.17975
217,9999.17975
218,9999.17975
219,9999.17975
220,9999.17975
221,9999.17975
222,9999.17975
223,9999.17975
224,9999.17975
225,9999.17975
226,9999.17975
227,9999.17975
228,9999.17975
229,9999.17975
230,9999.17975
231,9999.17975
232,9999.17975
233,9999.17975
234,9999.17975
235,9999.17975
236,9999.17975
237,9999.17975
238,9999.17975
239,9999.17975
240,9999.17975
241,9999.17975
242,9999.17975
243,9999.17975
244,9999.17975
245,9999.17975
246,9999.17975
247,9999.17975
248,9999.17975
249,9999.17975
250,9999.17975
251,9999.17975
252,9999.17975
253,9999.17975
254,9999.17975
255,9999.17975
256,9999.17975
257,9999.17975
258,9999.17975
259,9999.17975
260,9999.17975
261,9999.17975
262,9999.17975
263,9999.17975
264,9999.17975
265,9999.17975
266,9999.17975
267,9999.17975
268,9999.17975
269,9999.17975
270,9999.17975
271,9999.17975
272,9999.17975
273,9999.17975
274,9999.17975
275,9999.17975
276,9999.17975
277,9999.17975
278,9999.17975
279,9999.17975
280,9999.17975
281,9999.17975
282,9999.17975
283,9999.17975
284,9999.17975
285,9999.17975
286,9999.17975
287,9999.17975
288,9999.17975
289,9999.17975
290,9999.17975
291,9999.17975
292,9999.17975
293,9999.17975
294,9999.17975
295,9999.17975
296,9999.17975
297,9999.17975
298,9999.17975
299,9999.17975
300,9999.17975
301,9999.17975
302,9999.17975
303,9999.17975
304,9999.17975
