	BestGlobal	BestLocal-k1	Siblings	LessInclusive	Inclusive
Hglass	0.63479	0.62094	0.67802	0.74855	0.74855
Fabien	0.37276	0.44168	0.50750	0.51593	0.51593
Marsyas	0.48033	0.53043	0.65093	0.64995	0.64995
Thomas-rh	0.34108	0.35400	0.51026	0.50550	0.50550
Thomas-ssd	0.42338	0.44694	0.60073	0.57272	0.57272
G-Pfam	0.46170	0.52677	0.57257	0.57170	0.57173
G-Prints	0.62541	0.66304	0.65730	0.65790	0.65862
G-prosite	0.40937	0.50423	0.54903	0.54711	0.54719
G-Interpro	0.66835	0.67611	0.66011	0.65848	0.65915
E-Pfam	0.54831	0.67550	0.79708	0.80463	0.80550
E-Prints	0.58317	0.70248	0.83390	0.83798	0.83849
E-Prosite	0.65184	0.74570	0.84879	0.85292	0.85422
E-Interpro	0.77078	0.76701	0.79753	0.80313	0.80362
