Generation, Fitness
0,9999.293875
1,9999.293875
2,9999.293875
3,9999.296775
4,9999.2980125
5,9999.2994125
6,9999.2994125
7,9999.2994125
8,9999.3063375
9,9999.3063375
10,9999.3063375
11,9999.3063375
12,9999.3063375
13,9999.3063375
14,9999.3063375
15,9999.3063375
16,9999.3063375
17,9999.3063375
18,9999.3063375
19,9999.3063375
20,9999.3063375
21,9999.3063375
22,9999.3063375
23,9999.3063375
24,9999.3063375
25,9999.3063375
26,9999.3063375
27,9999.3063375
28,9999.3063375
29,9999.3063375
30,9999.3063375
31,9999.3063375
32,9999.3063375
33,9999.3063375
34,9999.3063375
35,9999.3063375
36,9999.3063375
37,9999.3063375
38,9999.3063375
39,9999.3063375
