Generation, Fitness
0,9926.95900625
1,9926.95900625
2,9926.95900625
3,9926.99668125
4,9926.99668125
5,9927.0475
6,9927.4751
7,9927.4751
8,9927.4751
9,9927.4751
10,9927.4751
11,9927.4751
12,9927.50214375
13,9927.50214375
14,9927.50214375
15,9927.50214375
16,9927.50214375
17,9927.50214375
18,9927.54925625
19,9927.54925625
20,9927.54925625
21,9927.54925625
22,9927.54925625
23,9927.54925625
24,9927.54925625
25,9927.54925625
26,9927.54925625
27,9927.54925625
28,9927.54925625
29,9927.54925625
30,9927.54925625
31,9927.54925625
32,9927.54925625
33,9927.73590625
34,9927.73590625
35,9927.73590625
36,9927.73590625
37,9927.73590625
38,9927.73590625
39,9927.73590625
40,9927.73590625
41,9927.73590625
42,9927.73590625
43,9927.73590625
44,9927.73590625
45,9927.73590625
46,9927.73590625
47,9927.73590625
48,9927.73590625
49,9927.73590625
50,9927.73590625
51,9927.73590625
52,9927.73590625
53,9927.73590625
54,9927.73590625
55,9927.73590625
56,9927.73590625
57,9927.73590625
58,9927.73590625
59,9927.9418875
60,9927.9418875
61,9927.9418875
62,9927.9418875
63,9927.9418875
64,9927.9418875
65,9927.9418875
66,9927.9418875
67,9927.9418875
68,9927.9418875
69,9927.9418875
70,9927.9418875
71,9927.9418875
72,9927.9418875
73,9927.9418875
74,9927.9418875
75,9927.9418875
76,9927.9418875
77,9927.9418875
78,9927.9484375
79,9927.9484375
80,9927.9484375
81,9927.9484375
82,9927.9484375
83,9927.9484375
84,9927.9484375
85,9927.9484375
86,9927.9484375
87,9927.9484375
88,9927.9484375
89,9927.9484375
90,9927.9484375
91,9927.9484375
92,9927.9484375
93,9927.9484375
94,9927.9484375
95,9927.9484375
96,9927.9484375
97,9927.9484375
98,9927.9484375
99,9927.9484375
100,9927.9484375
101,9927.9484375
102,9927.9484375
103,9927.9484375
104,9927.9484375
105,9927.9484375
106,9927.9484375
107,9927.9484375
108,9927.9484375
109,9927.9484375
110,9927.9484375
111,9927.9484375
112,9927.9484375
113,9927.9484375
114,9927.9484375
115,9927.9484375
116,9927.9484375
117,9927.9484375
118,9927.9484375
119,9927.9484375
120,9927.9484375
121,9927.9484375
122,9927.9484375
123,9927.9484375
124,9927.9484375
125,9927.9484375
126,9927.9484375
127,9927.9484375
128,9927.9484375
129,9927.9484375
130,9927.9484375
131,9927.9484375
132,9927.9484375
133,9927.9484375
134,9927.9484375
135,9927.9484375
136,9927.9484375
137,9927.9484375
138,9927.9484375
139,9927.9484375
140,9927.9484375
141,9927.9484375
142,9927.9484375
143,9927.9484375
144,9927.9484375
145,9927.9484375
146,9927.9484375
147,9927.9484375
148,9927.9484375
149,9927.9484375
150,9927.9484375
151,9927.9484375
152,9927.9484375
153,9927.9484375
154,9927.9484375
155,9927.9484375
156,9927.9484375
157,9927.9484375
158,9927.9484375
159,9927.9484375
160,9927.9484375
161,9927.9484375
162,9927.9484375
163,9927.9484375
164,9927.9484375
165,9927.9484375
166,9927.9484375
167,9927.9484375
168,9927.9484375
169,9927.9484375
170,9927.9484375
171,9927.9484375
172,9927.9484375
173,9927.9484375
174,9927.9484375
175,9927.9484375
176,9927.9484375
177,9927.9484375
178,9927.9484375
179,9927.9484375
180,9927.9484375
181,9927.9484375
182,9927.9484375
183,9927.9484375
184,9927.9484375
185,9927.9484375
186,9927.9484375
187,9927.9484375
188,9927.9484375
189,9927.9484375
190,9927.9484375
191,9927.9484375
192,9927.9484375
193,9927.9484375
194,9927.9484375
195,9927.9484375
196,9927.9484375
197,9927.9484375
198,9927.9484375
199,9927.9484375
200,9927.9484375
201,9927.9484375
202,9927.9484375
203,9927.9484375
204,9927.9484375
205,9927.9484375
206,9927.9484375
207,9927.9484375
208,9927.9484375
209,9927.9484375
210,9927.9484375
211,9927.9484375
212,9927.9484375
213,9927.9484375
214,9927.9484375
215,9927.9484375
216,9927.9484375
217,9927.9484375
218,9927.9484375
219,9927.9484375
220,9927.9484375
221,9927.9484375
222,9927.9484375
223,9927.9484375
224,9927.9484375
225,9927.9484375
226,9927.9484375
227,9927.9484375
228,9927.9484375
229,9927.9484375
230,9927.9484375
231,9927.9484375
232,9927.9484375
233,9927.9484375
234,9927.9484375
235,9927.9484375
236,9928.0415875
237,9928.0415875
238,9928.0415875
239,9928.0415875
240,9928.0415875
241,9928.0415875
242,9928.0415875
243,9928.0415875
244,9928.0415875
245,9928.0415875
246,9928.0415875
247,9928.0415875
248,9928.0415875
249,9928.0415875
250,9928.0415875
251,9928.0415875
252,9928.0415875
253,9928.0415875
254,9928.0415875
255,9928.0415875
256,9928.0415875
257,9928.0415875
258,9928.0415875
259,9928.0415875
260,9928.0415875
261,9928.0415875
262,9928.0415875
263,9928.0415875
264,9928.0415875
265,9928.0415875
266,9928.0415875
267,9928.0415875
268,9928.0415875
269,9928.0415875
270,9928.0415875
271,9928.0415875
272,9928.0415875
273,9928.0415875
274,9928.0415875
275,9928.0415875
276,9928.0415875
277,9928.0415875
278,9928.0415875
279,9928.0415875
280,9928.0415875
281,9928.0415875
282,9928.0415875
283,9928.0415875
284,9928.0415875
285,9928.0415875
286,9928.0415875
287,9928.0415875
288,9928.0415875
289,9928.0415875
290,9928.0415875
291,9928.0415875
292,9928.0415875
293,9928.0415875
294,9928.0415875
295,9928.0415875
296,9928.0415875
297,9928.0415875
298,9928.0415875
299,9928.0415875
300,9928.0415875
301,9928.0415875
302,9928.0415875
303,9928.0415875
304,9928.0415875
305,9928.0415875
306,9928.0415875
307,9928.0415875
308,9928.0415875
309,9928.0415875
310,9928.0415875
311,9928.0415875
312,9928.0415875
313,9928.0415875
314,9928.0415875
315,9928.0415875
316,9928.0415875
317,9928.0415875
318,9928.0415875
319,9928.0415875
320,9928.0415875
321,9928.0415875
322,9928.0415875
323,9928.0415875
324,9928.0415875
325,9928.0415875
326,9928.0415875
327,9928.0415875
328,9928.0415875
329,9928.0415875
330,9928.0415875
331,9928.0415875
332,9928.0415875
333,9928.0415875
334,9928.0415875
335,9928.0415875
336,9928.0415875
337,9928.0415875
338,9928.0415875
339,9928.0415875
340,9928.0415875
341,9928.0415875
342,9928.0415875
343,9928.0415875
344,9928.21464375
345,9928.21464375
346,9928.21464375
347,9928.21464375
348,9928.21464375
349,9928.21464375
350,9928.21464375
351,9928.21464375
352,9928.21464375
353,9928.21464375
354,9928.21464375
355,9928.21464375
356,9928.21464375
357,9928.21464375
358,9928.21464375
359,9928.21464375
360,9928.21464375
361,9928.21464375
362,9928.21464375
363,9928.21464375
364,9928.21464375
365,9928.21464375
366,9928.21464375
367,9928.21464375
368,9928.21464375
369,9928.21464375
370,9928.21464375
371,9928.21464375
372,9928.21464375
