Generation, Fitness
0,9999.5909625
1,9999.5909625
2,9999.5909625
3,9999.5909625
4,9999.5909625
5,9999.5909625
6,9999.5909625
7,9999.5909625
8,9999.5909625
9,9999.5909625
10,9999.5909625
11,9999.5909625
12,9999.5909625
13,9999.5909625
14,9999.5909625
15,9999.5909625
16,9999.5909625
17,9999.5909625
18,9999.5909625
19,9999.5909625
20,9999.5909625
21,9999.5909625
22,9999.5909625
23,9999.5909625
24,9999.5909625
25,9999.5909625
26,9999.5909625
27,9999.5909625
28,9999.5909625
29,9999.5909625
30,9999.5909625
31,9999.5909625
32,9999.5909625
33,9999.5909625
34,9999.5909625
35,9999.5909625
36,9999.5909625
37,9999.5909625
38,9999.5909625
39,9999.5909625
40,9999.5909625
41,9999.5909625
42,9999.5909625
43,9999.5909625
44,9999.5909625
45,9999.5909625
46,9999.5909625
47,9999.5909625
48,9999.5909625
49,9999.5909625
50,9999.5909625
51,9999.5909625
52,9999.5909625
53,9999.5909625
54,9999.5909625
55,9999.5909625
56,9999.5909625
57,9999.5909625
58,9999.5909625
59,9999.5909625
60,9999.5909625
61,9999.5909625
62,9999.5909625
63,9999.5909625
64,9999.5909625
65,9999.5909625
66,9999.5909625
67,9999.5909625
68,9999.5909625
69,9999.5909625
70,9999.5909625
71,9999.5909625
72,9999.5909625
73,9999.5909625
74,9999.5909625
75,9999.5909625
76,9999.5909625
77,9999.5909625
78,9999.5909625
79,9999.5909625
80,9999.5909625
81,9999.5909625
82,9999.5909625
83,9999.5909625
84,9999.5909625
85,9999.5909625
86,9999.5909625
87,9999.5909625
88,9999.5909625
89,9999.5909625
90,9999.5909625
91,9999.5909625
92,9999.5909625
93,9999.5909625
94,9999.5909625
95,9999.5909625
96,9999.5909625
97,9999.5909625
98,9999.5909625
99,9999.5909625
100,9999.5909625
101,9999.5909625
102,9999.5909625
103,9999.5909625
104,9999.5909625
105,9999.5909625
106,9999.5909625
107,9999.5909625
108,9999.5909625
109,9999.5909625
110,9999.5909625
111,9999.5909625
112,9999.5909625
113,9999.5909625
114,9999.5909625
115,9999.5909625
116,9999.5909625
117,9999.5909625
118,9999.5909625
119,9999.5909625
120,9999.5909625
121,9999.5909625
122,9999.5909625
123,9999.5909625
124,9999.5909625
125,9999.5909625
126,9999.5909625
127,9999.5909625
128,9999.5909625
129,9999.5909625
130,9999.5909625
131,9999.5909625
132,9999.5909625
133,9999.5909625
134,9999.5909625
135,9999.5909625
136,9999.5909625
137,9999.5909625
138,9999.5909625
139,9999.5909625
140,9999.5909625
141,9999.5909625
142,9999.5909625
143,9999.5909625
144,9999.5909625
145,9999.5909625
146,9999.5909625
147,9999.5909625
148,9999.5909625
149,9999.5909625
150,9999.5909625
151,9999.5909625
152,9999.5909625
153,9999.5909625
154,9999.5909625
155,9999.5909625
156,9999.5909625
157,9999.5909625
158,9999.5909625
159,9999.5909625
160,9999.5909625
161,9999.5909625
162,9999.5909625
163,9999.5909625
164,9999.5909625
165,9999.5909625
166,9999.5909625
167,9999.5909625
168,9999.5909625
169,9999.5909625
170,9999.5909625
171,9999.5909625
172,9999.5909625
173,9999.5909625
174,9999.5909625
175,9999.5909625
176,9999.5909625
177,9999.5909625
178,9999.5909625
179,9999.5909625
180,9999.5909625
181,9999.5909625
182,9999.5909625
183,9999.5909625
184,9999.5909625
185,9999.5909625
186,9999.5909625
187,9999.5909625
188,9999.5909625
189,9999.5909625
190,9999.5909625
191,9999.5909625
192,9999.5909625
193,9999.5909625
194,9999.5909625
195,9999.5909625
196,9999.5909625
197,9999.5909625
198,9999.5909625
199,9999.5909625
200,9999.5909625
201,9999.5909625
202,9999.5909625
203,9999.5909625
204,9999.5909625
205,9999.5909625
206,9999.5909625
207,9999.5909625
208,9999.5909625
209,9999.5909625
210,9999.5909625
211,9999.5909625
212,9999.5909625
213,9999.5909625
214,9999.5909625
215,9999.5909625
216,9999.5909625
217,9999.5909625
218,9999.5909625
219,9999.5909625
220,9999.5909625
221,9999.5909625
222,9999.5909625
223,9999.5909625
224,9999.5909625
225,9999.5909625
226,9999.5909625
227,9999.5909625
228,9999.5909625
229,9999.5909625
230,9999.5909625
231,9999.5909625
232,9999.5909625
233,9999.5909625
234,9999.5909625
235,9999.5909625
236,9999.5909625
237,9999.5909625
238,9999.5909625
239,9999.5909625
240,9999.5909625
241,9999.5909625
242,9999.5909625
243,9999.5909625
244,9999.5909625
245,9999.5909625
246,9999.5909625
247,9999.5909625
248,9999.5909625
249,9999.5909625
250,9999.5909625
251,9999.5909625
252,9999.5909625
253,9999.5909625
254,9999.5909625
255,9999.5909625
256,9999.5909625
257,9999.5909625
258,9999.5909625
259,9999.5909625
260,9999.5909625
261,9999.5909625
262,9999.5909625
263,9999.5909625
264,9999.5909625
265,9999.5909625
266,9999.5909625
267,9999.5909625
268,9999.5909625
269,9999.5909625
270,9999.5909625
271,9999.5909625
272,9999.5909625
273,9999.5909625
274,9999.5909625
275,9999.5909625
276,9999.5909625
277,9999.5909625
278,9999.5909625
279,9999.5909625
280,9999.5909625
281,9999.5909625
282,9999.5909625
283,9999.5909625
284,9999.5909625
285,9999.5909625
286,9999.5909625
287,9999.5909625
288,9999.5909625
289,9999.5909625
290,9999.5909625
291,9999.5909625
292,9999.5909625
293,9999.5909625
294,9999.5909625
295,9999.5909625
296,9999.5909625
297,9999.5909625
298,9999.5909625
299,9999.5909625
300,9999.5909625
301,9999.5909625
302,9999.5909625
303,9999.5909625
304,9999.5909625
305,9999.5909625
306,9999.5909625
307,9999.5909625
308,9999.5909625
309,9999.5909625
310,9999.5909625
311,9999.5909625
312,9999.5909625
313,9999.5909625
314,9999.5909625
315,9999.5909625
316,9999.5909625
317,9999.5909625
318,9999.5909625
319,9999.5909625
320,9999.5909625
321,9999.5909625
322,9999.5909625
323,9999.5909625
324,9999.5909625
325,9999.5909625
326,9999.5909625
327,9999.5909625
328,9999.5909625
329,9999.5909625
330,9999.5909625
331,9999.5909625
332,9999.5909625
333,9999.5909625
334,9999.5909625
335,9999.5909625
336,9999.5909625
337,9999.5909625
338,9999.5909625
339,9999.5909625
340,9999.5909625
341,9999.5909625
342,9999.5909625
343,9999.5909625
344,9999.5909625
345,9999.5909625
346,9999.5909625
347,9999.5909625
348,9999.5909625
349,9999.5909625
350,9999.5909625
351,9999.5909625
352,9999.5909625
353,9999.5909625
354,9999.5909625
355,9999.5909625
356,9999.5909625
357,9999.5909625
358,9999.5909625
359,9999.5909625
360,9999.5909625
361,9999.5909625
362,9999.5909625
363,9999.5909625
364,9999.5909625
365,9999.5909625
366,9999.5909625
367,9999.5909625
368,9999.5909625
369,9999.5909625
370,9999.5909625
371,9999.5909625
372,9999.5909625
373,9999.5909625
374,9999.5909625
375,9999.5909625
376,9999.5909625
377,9999.5909625
378,9999.5909625
379,9999.5909625
380,9999.5909625
381,9999.5909625
382,9999.5909625
383,9999.5909625
384,9999.5909625
