Generation, Fitness
0,9960.0079125
1,9960.0079125
2,9960.0079125
3,9960.0079125
4,9964.7847625
5,9964.7847625
6,9964.7847625
7,9964.8266125
8,9966.698875
9,9966.698875
10,9980.234775
11,9980.234775
12,9980.234775
13,9980.234775
14,9980.234775
15,9980.234775
16,9980.234775
17,9980.234775
18,9980.234775
19,9980.234775
20,9980.234775
21,9980.234775
22,9980.234775
23,9980.234775
24,9980.234775
25,9980.234775
26,9980.234775
27,9980.234775
28,9980.234775
29,9980.234775
30,9980.234775
31,9980.234775
32,9980.234775
33,9994.1761625
34,9994.1761625
35,9994.1761625
36,9994.1761625
37,9994.1761625
38,9994.1761625
39,9994.1761625
40,9994.1761625
41,9994.1761625
42,9994.1761625
43,9994.1761625
44,9994.1761625
45,9994.1761625
46,9994.1761625
47,9994.1761625
48,9994.1761625
49,9994.1761625
50,9994.1761625
51,9994.1761625
52,9994.1761625
53,9994.1761625
54,9994.1761625
55,9994.1761625
56,9994.1761625
57,9994.1761625
58,9994.1761625
59,9994.1761625
60,9994.1761625
61,9994.1761625
62,9994.1761625
63,9994.1761625
64,9994.1761625
65,9994.1761625
66,9994.1761625
67,9994.1761625
68,9994.1761625
69,9994.1761625
70,9994.1761625
71,9994.1761625
72,9994.1761625
73,9994.1761625
74,9994.1761625
75,9994.1761625
76,9994.1761625
77,9994.1761625
78,9994.1761625
79,9994.1761625
80,9994.1761625
81,9994.1761625
82,9994.1761625
83,9994.1761625
84,9994.1761625
85,9994.1761625
86,9994.1761625
87,9994.1761625
88,9994.1761625
89,9994.1761625
90,9994.1761625
91,9994.1761625
92,9994.1761625
93,9994.1761625
94,9994.1761625
95,9994.1761625
96,9994.1761625
97,9994.1761625
98,9994.1761625
99,9994.1761625
100,9994.1761625
101,9994.1761625
102,9994.1761625
103,9994.1761625
104,9994.1761625
105,9994.1761625
106,9994.1761625
107,9994.1761625
108,9994.1761625
109,9994.1761625
110,9994.1761625
111,9994.1761625
112,9994.1761625
113,9994.1761625
114,9994.1761625
115,9994.1761625
116,9994.1761625
117,9994.1761625
118,9994.1761625
119,9994.1761625
120,9994.1761625
121,9994.1761625
122,9994.1761625
123,9994.1761625
124,9994.1761625
125,9994.1761625
126,9994.1761625
127,9994.1761625
128,9994.1761625
129,9994.1761625
130,9994.1761625
131,9994.1761625
132,9994.1761625
133,9994.1761625
134,9994.1761625
135,9994.1761625
136,9994.1761625
137,9994.1761625
138,9994.1761625
139,9994.1761625
140,9994.1761625
141,9994.1761625
142,9994.1761625
143,9994.1761625
144,9994.1761625
145,9994.1761625
146,9994.1761625
147,9994.1761625
148,9994.1761625
149,9994.1761625
150,9994.1761625
151,9994.1761625
152,9994.1761625
153,9994.1761625
154,9994.1761625
155,9994.1761625
156,9994.1761625
157,9994.1761625
158,9994.1761625
159,9994.1761625
160,9994.1761625
161,9994.1761625
162,9994.1761625
163,9994.1761625
164,9994.1761625
165,9994.1761625
166,9994.1761625
167,9994.1761625
168,9994.1761625
169,9994.1761625
170,9994.1761625
171,9994.1761625
172,9994.1761625
173,9994.1761625
174,9994.1761625
175,9994.1761625
176,9994.1761625
177,9994.1761625
178,9994.1761625
179,9994.1761625
180,9994.1761625
181,9994.1761625
182,9994.1761625
183,9994.1761625
184,9994.1761625
185,9994.1761625
186,9994.1761625
187,9994.1761625
188,9994.1761625
189,9994.1761625
190,9994.1761625
191,9994.1761625
192,9994.1761625
193,9994.1761625
194,9994.1761625
195,9994.1761625
196,9994.1761625
197,9994.1761625
198,9994.1761625
199,9994.1761625
200,9994.1761625
201,9994.1761625
202,9994.1761625
203,9994.1761625
204,9994.1761625
205,9994.1761625
206,9994.1761625
207,9994.1761625
208,9994.1761625
209,9994.1761625
210,9994.1761625
211,9994.1761625
212,9994.1761625
213,9994.1761625
214,9994.1761625
215,9994.1761625
216,9994.1761625
217,9994.1761625
218,9994.1761625
219,9994.1761625
220,9994.1761625
221,9994.1761625
222,9994.1761625
223,9994.1761625
224,9994.1761625
225,9994.1761625
226,9994.1761625
227,9994.1761625
228,9994.1761625
229,9994.1761625
230,9994.1761625
231,9994.1761625
232,9994.1761625
233,9994.1761625
234,9994.1761625
235,9994.1761625
236,9994.1761625
237,9994.1761625
238,9994.1761625
239,9994.1761625
240,9994.1761625
241,9994.1761625
242,9994.1761625
243,9994.1761625
244,9994.1761625
245,9994.1761625
246,9994.1761625
247,9994.1761625
248,9994.1761625
249,9994.1761625
250,9994.1761625
251,9994.1761625
252,9994.1761625
253,9994.1761625
254,9994.1761625
255,9994.1761625
256,9994.1761625
257,9994.1761625
258,9994.1761625
259,9994.1761625
260,9994.1761625
261,9994.1761625
262,9994.1761625
263,9994.1761625
264,9994.1761625
265,9994.1761625
266,9994.1761625
267,9994.1761625
268,9994.1761625
269,9994.1761625
270,9994.1761625
271,9994.1761625
272,9994.1761625
273,9994.1761625
274,9994.1761625
275,9994.1761625
276,9994.1761625
277,9994.1761625
278,9994.1761625
279,9994.1761625
280,9994.1761625
281,9994.1761625
282,9994.1761625
283,9994.1761625
