Generation, Fitness
0,9626.4374375
1,9636.17241875
2,9636.17241875
3,9638.138843749999
4,9638.138843749999
5,9638.138843749999
6,9638.138843749999
7,9638.138843749999
8,9639.7441125
9,9639.7441125
10,9639.7441125
11,9639.7441125
12,9639.7441125
13,9639.7441125
14,9639.7441125
15,9640.07821875
16,9640.07821875
17,9640.07821875
18,9640.07821875
19,9640.07821875
20,9640.07821875
21,9640.27325625
22,9640.27325625
23,9640.27325625
24,9640.27325625
25,9640.27325625
26,9640.27325625
27,9640.27325625
28,9640.27325625
29,9640.27325625
30,9640.27325625
31,9640.27325625
32,9640.5570875
33,9640.5570875
34,9640.5570875
35,9641.223225
36,9641.223225
37,9641.223225
38,9641.223225
39,9641.223225
40,9641.223225
41,9641.223225
42,9641.223225
43,9641.223225
44,9641.223225
45,9641.223225
46,9641.223225
47,9641.223225
48,9641.223225
49,9641.223225
50,9641.223225
51,9641.223225
52,9641.223225
53,9641.223225
54,9641.223225
55,9641.223225
56,9641.223225
57,9641.223225
58,9641.223225
59,9641.223225
60,9641.223225
61,9641.223225
62,9642.13925625
63,9642.13925625
64,9642.13925625
65,9642.13925625
66,9642.13925625
67,9642.13925625
68,9642.13925625
69,9642.13925625
70,9642.13925625
71,9642.13925625
72,9642.13925625
73,9642.13925625
74,9642.13925625
75,9642.13925625
76,9642.13925625
77,9642.13925625
78,9642.13925625
79,9642.13925625
80,9642.13925625
81,9642.13925625
82,9642.13925625
83,9642.13925625
84,9642.13925625
85,9642.13925625
86,9642.13925625
87,9642.13925625
88,9642.13925625
89,9642.13925625
90,9642.13925625
91,9642.13925625
92,9642.13925625
93,9642.13925625
94,9642.13925625
95,9642.13925625
96,9642.13925625
97,9642.13925625
98,9642.13925625
99,9642.13925625
