Generation, Fitness
0,9951.0862625
1,9951.0862625
2,9951.0862625
3,9951.0912625
4,9952.4119375
5,9952.4119375
6,9952.45511875
7,9952.45511875
8,9952.45511875
9,9953.45646875
10,9957.1275375
11,9957.1275375
12,9957.1275375
13,9957.1275375
14,9957.1275375
15,9957.1275375
16,9957.1275375
17,9957.1275375
18,9957.1275375
19,9957.1275375
20,9957.1275375
21,9957.1275375
22,9957.1275375
23,9957.1275375
24,9957.1275375
25,9957.1275375
26,9957.1275375
27,9957.1275375
28,9957.1275375
29,9957.1275375
30,9957.1275375
31,9957.1275375
32,9957.1275375
33,9957.13933125
34,9957.13933125
35,9957.13933125
36,9957.13933125
37,9957.13933125
38,9957.13933125
39,9957.13933125
40,9957.13933125
41,9957.13933125
42,9957.13933125
43,9957.13933125
44,9957.13933125
45,9957.13933125
46,9957.13933125
47,9957.13933125
48,9957.13933125
49,9957.13933125
50,9960.6948875
51,9960.6948875
52,9960.6948875
53,9960.6948875
54,9960.6948875
55,9960.6948875
56,9960.6948875
57,9960.6948875
58,9960.6948875
59,9960.6948875
60,9960.6948875
61,9960.6948875
62,9960.6948875
63,9960.6948875
64,9960.6948875
65,9960.6948875
66,9960.6948875
67,9960.6948875
68,9960.6948875
69,9960.6948875
70,9960.6948875
71,9960.6948875
72,9960.6948875
73,9960.6948875
74,9960.6948875
75,9960.6948875
76,9960.6948875
77,9960.6948875
78,9960.6948875
79,9960.6948875
80,9960.6948875
81,9960.6948875
82,9960.6948875
83,9960.6948875
84,9960.6948875
85,9960.6948875
86,9960.6948875
87,9960.6948875
88,9960.6948875
89,9960.6948875
90,9960.6948875
91,9960.6948875
92,9960.6948875
93,9960.6948875
94,9960.6948875
95,9960.6948875
96,9960.6948875
97,9960.6948875
98,9960.6948875
99,9960.6948875
