Generation, Fitness
0,9576.88464375
1,9580.017100000001
2,9580.017100000001
3,9582.73225625
4,9582.73225625
5,9582.73225625
6,9582.73225625
7,9582.73225625
8,9582.73225625
9,9582.73225625
10,9583.1260125
11,9583.1260125
12,9583.1260125
13,9583.1260125
14,9583.1260125
15,9583.1260125
16,9583.1260125
17,9583.1260125
18,9583.1260125
19,9583.1260125
20,9583.1260125
21,9583.1260125
22,9583.1260125
23,9583.1260125
24,9583.1260125
25,9583.1260125
26,9583.1260125
27,9583.1260125
28,9583.1260125
29,9583.1260125
30,9583.1260125
31,9583.1260125
32,9583.73515625
33,9583.73515625
34,9583.73515625
35,9583.73515625
36,9583.73515625
37,9583.73515625
38,9583.73515625
39,9586.7513625
40,9586.7513625
41,9586.7513625
42,9586.7513625
43,9586.7513625
44,9586.7513625
45,9586.7513625
46,9586.7513625
47,9586.7513625
48,9586.7513625
49,9586.7513625
50,9586.7513625
51,9586.7513625
52,9586.7513625
53,9586.7513625
54,9586.7513625
55,9586.7513625
56,9586.7513625
57,9586.7513625
58,9586.7513625
59,9586.7513625
60,9586.7513625
61,9586.7513625
62,9586.7513625
63,9586.7513625
64,9586.7513625
65,9586.7513625
66,9586.7513625
67,9586.7513625
68,9586.7513625
69,9586.7513625
70,9586.7513625
71,9586.7513625
72,9586.7513625
73,9586.7513625
74,9586.7513625
75,9586.7513625
76,9586.7513625
77,9586.7513625
78,9586.7513625
79,9586.7513625
80,9586.7513625
81,9586.7513625
82,9586.7513625
83,9586.7513625
84,9586.7513625
85,9586.7513625
86,9586.7513625
87,9586.7513625
88,9586.7513625
89,9586.7513625
90,9586.7513625
91,9586.7513625
92,9586.7513625
93,9586.7513625
94,9586.7513625
95,9586.7513625
96,9586.7513625
97,9586.7513625
98,9586.7513625
99,9586.7513625
100,9586.7513625
101,9586.7513625
102,9586.7513625
103,9586.7513625
104,9586.7513625
105,9586.7513625
106,9586.7513625
107,9586.7513625
108,9586.7513625
109,9586.7513625
110,9586.7513625
111,9586.7513625
112,9586.7513625
113,9586.7513625
114,9586.7513625
115,9586.7513625
116,9586.7513625
117,9586.7513625
118,9586.7513625
119,9587.49119375
120,9587.49119375
121,9587.49119375
122,9587.49119375
123,9587.49119375
124,9587.49119375
125,9587.49119375
126,9587.49119375
127,9587.49119375
128,9587.49119375
129,9587.49119375
130,9587.49119375
131,9588.16016875
132,9588.16016875
133,9588.16016875
134,9588.16016875
135,9588.16016875
136,9588.16016875
137,9588.16016875
138,9588.16016875
139,9588.16016875
140,9588.16016875
141,9588.16016875
142,9588.16016875
143,9588.16016875
144,9588.16016875
145,9588.16016875
146,9588.16016875
147,9588.16016875
148,9588.16016875
149,9588.16016875
150,9588.16016875
151,9588.16016875
152,9588.16016875
153,9588.16016875
154,9588.16016875
155,9588.16016875
156,9588.16016875
157,9588.16016875
158,9588.16016875
159,9588.16016875
160,9588.16016875
161,9588.16016875
162,9588.16016875
163,9588.16016875
164,9588.16016875
165,9588.16016875
166,9588.16016875
167,9588.16016875
168,9588.16016875
169,9588.16016875
170,9588.16016875
171,9588.16016875
172,9588.16016875
173,9588.16016875
174,9588.16016875
175,9588.16016875
176,9591.08005
177,9591.08005
178,9591.08005
179,9591.08005
180,9591.08005
181,9591.08005
182,9591.08005
183,9591.08005
184,9591.08005
185,9591.08005
186,9591.08005
187,9591.08005
188,9591.08005
189,9591.08005
190,9591.08005
191,9591.08005
192,9591.08005
193,9591.08005
194,9591.08005
195,9591.08005
196,9591.08005
197,9591.08005
198,9591.08005
199,9591.08005
200,9591.08005
201,9591.08005
202,9591.08005
203,9591.08005
204,9591.08005
205,9591.08005
206,9591.08005
207,9591.08005
208,9591.08005
209,9591.08005
210,9591.08005
211,9591.08005
212,9591.08005
213,9591.08005
214,9591.08005
215,9591.08005
216,9591.08005
217,9591.08005
218,9591.08005
219,9591.08005
220,9591.08005
221,9591.08005
222,9591.08005
223,9591.08005
224,9591.08005
225,9591.08005
226,9591.08005
227,9591.08005
228,9591.08005
229,9591.08005
230,9591.08005
231,9591.08005
232,9591.08005
233,9591.08005
234,9591.08005
235,9591.08005
236,9591.08005
237,9591.08005
238,9591.08005
239,9591.08005
240,9591.08005
241,9591.08005
242,9591.08005
243,9591.08005
244,9591.08005
245,9591.08005
246,9591.08005
247,9591.08005
248,9591.08005
249,9591.08005
250,9591.08005
251,9591.08005
252,9591.08005
253,9591.08005
254,9591.08005
255,9591.08005
256,9591.08005
257,9591.08005
258,9591.08005
259,9591.08005
260,9591.08005
261,9591.08005
262,9591.08005
263,9591.08005
264,9591.08005
265,9591.08005
