Generation, Fitness
0,9571.4117
1,9571.90906875
2,9582.90145
3,9582.90145
4,9584.6253125
5,9588.60513125
6,9588.60513125
7,9588.60513125
8,9598.77665
9,9598.77665
10,9598.77665
11,9598.77665
12,9598.77665
13,9598.77665
14,9598.77665
15,9600.2470625
16,9600.2470625
17,9600.2470625
18,9600.2470625
19,9601.350087499999
20,9601.350087499999
21,9601.350087499999
22,9601.350087499999
23,9601.350087499999
24,9601.350087499999
25,9601.350087499999
26,9609.156375
27,9609.156375
28,9609.156375
29,9609.43844375
30,9609.43844375
31,9609.43844375
32,9609.43844375
33,9609.43844375
34,9609.43844375
35,9609.43844375
36,9609.43844375
37,9609.43844375
38,9609.43844375
39,9609.43844375
40,9609.43844375
41,9609.43844375
42,9609.43844375
43,9609.43844375
44,9609.43844375
45,9609.43844375
46,9609.43844375
47,9609.43844375
48,9609.43844375
49,9609.43844375
50,9609.43844375
51,9609.43844375
52,9609.43844375
53,9609.43844375
54,9609.43844375
55,9609.43844375
56,9609.43844375
57,9609.43844375
58,9609.43844375
59,9609.43844375
60,9609.43844375
61,9609.43844375
62,9609.43844375
63,9609.43844375
64,9609.43844375
65,9609.43844375
66,9609.43844375
67,9610.5829625
68,9610.5829625
69,9610.5829625
70,9610.5829625
71,9610.5829625
72,9610.5829625
73,9610.5829625
74,9610.5829625
75,9610.5829625
76,9610.5829625
77,9610.5829625
78,9610.5829625
79,9610.5829625
80,9610.5829625
81,9610.5829625
82,9610.5829625
83,9610.5829625
84,9610.5829625
85,9610.5829625
86,9610.5829625
87,9610.5829625
88,9610.5829625
89,9610.5829625
90,9610.5829625
91,9610.5829625
92,9610.5829625
93,9610.5829625
94,9610.5829625
95,9610.5829625
96,9610.5829625
97,9610.5829625
98,9610.5829625
99,9610.5829625
100,9610.5829625
101,9610.5829625
102,9610.5829625
103,9610.5829625
104,9610.5829625
105,9615.2510125
106,9615.2510125
107,9615.2510125
108,9615.2510125
109,9615.2510125
110,9615.2510125
111,9615.2510125
112,9615.2510125
113,9615.2510125
114,9615.2510125
115,9615.2510125
116,9615.2510125
117,9615.2510125
118,9615.2510125
119,9615.2510125
120,9615.2510125
121,9615.2510125
122,9615.2510125
123,9615.2510125
124,9615.2510125
125,9615.2510125
126,9615.2510125
127,9615.2510125
128,9615.2510125
129,9615.2510125
130,9615.2510125
131,9615.2510125
132,9615.2510125
133,9615.2510125
134,9615.2510125
135,9615.2510125
136,9615.2510125
137,9615.2510125
138,9615.2510125
139,9615.2510125
140,9615.2510125
141,9615.2510125
142,9615.2510125
143,9615.2510125
144,9615.2510125
145,9615.2510125
146,9615.2510125
147,9615.2510125
148,9615.2510125
149,9615.2510125
150,9615.2510125
151,9615.2510125
152,9615.2510125
153,9615.2510125
154,9615.2510125
155,9615.2510125
156,9615.2510125
157,9615.2510125
158,9615.2510125
159,9615.2510125
160,9615.2510125
161,9615.2510125
162,9615.2510125
163,9615.2510125
164,9615.2510125
165,9615.2510125
166,9615.2510125
167,9615.2510125
168,9615.2510125
169,9615.2510125
170,9615.2510125
171,9615.2510125
172,9615.2510125
173,9615.2510125
174,9615.2510125
175,9615.2510125
176,9615.2510125
177,9615.2510125
178,9615.2510125
179,9615.2510125
180,9615.2510125
181,9615.2510125
182,9615.2510125
183,9615.2510125
184,9615.2510125
185,9615.2510125
186,9615.2510125
187,9615.2510125
188,9615.2510125
189,9615.2510125
190,9615.2510125
191,9615.2510125
192,9615.2510125
193,9615.2510125
194,9615.2510125
195,9615.2510125
196,9615.2510125
197,9615.2510125
198,9615.2510125
199,9615.2510125
200,9615.2510125
201,9615.2510125
202,9615.2510125
203,9615.2510125
204,9615.2510125
205,9615.2510125
206,9615.2510125
207,9615.2510125
208,9615.2510125
209,9615.2510125
210,9615.2510125
211,9615.2510125
212,9615.2510125
213,9615.2510125
214,9615.2510125
215,9615.2510125
216,9615.2510125
217,9615.2510125
218,9615.2510125
219,9615.2510125
220,9615.2510125
221,9615.2510125
222,9615.2510125
223,9615.2510125
224,9615.2510125
225,9615.2510125
226,9615.2510125
227,9615.2510125
228,9615.2510125
229,9615.2510125
230,9615.2510125
231,9615.2510125
232,9615.2510125
233,9615.2510125
234,9615.2510125
235,9615.2510125
236,9615.2510125
237,9615.2510125
238,9615.2510125
239,9615.2510125
