Generation, Fitness
0,9998.6664625
1,9999.2965125
2,9999.2975375
3,9999.314275
4,9999.3213
5,9999.3213
6,9999.3213
7,9999.3213
8,9999.3213
9,9999.3213
10,9999.3213
11,9999.3213
12,9999.3213
13,9999.3213
14,9999.3213
15,9999.3213
16,9999.3213
17,9999.3213
18,9999.3213
19,9999.3213
20,9999.3213
21,9999.3213
22,9999.3213
23,9999.3213
24,9999.3213
25,9999.3213
26,9999.3213
27,9999.3213
28,9999.3213
29,9999.3213
30,9999.3213
31,9999.3213
32,9999.3213
33,9999.3213
34,9999.3213
35,9999.3213
36,9999.3213
37,9999.3213
38,9999.3213
39,9999.3213
40,9999.3213
41,9999.3213
42,9999.3213
43,9999.3213
44,9999.3213
45,9999.3213
46,9999.3213
47,9999.3213
48,9999.3213
49,9999.3213
50,9999.3213
51,9999.3213
52,9999.3213
53,9999.3213
54,9999.3213
55,9999.3213
56,9999.3213
57,9999.3213
58,9999.3213
59,9999.3213
60,9999.3213
61,9999.3213
62,9999.3213
63,9999.3213
64,9999.3213
65,9999.3213
66,9999.3213
67,9999.3213
68,9999.3213
69,9999.3213
70,9999.3213
71,9999.3213
72,9999.3213
73,9999.3213
74,9999.3213
75,9999.3213
76,9999.3213
77,9999.3213
78,9999.3213
79,9999.3213
80,9999.3213
81,9999.3213
82,9999.3213
83,9999.3213
84,9999.3213
85,9999.3213
86,9999.3213
87,9999.3213
88,9999.3213
89,9999.3213
90,9999.3213
91,9999.3213
92,9999.3213
93,9999.3213
94,9999.3213
95,9999.3213
96,9999.3213
97,9999.3213
98,9999.3213
99,9999.3213
100,9999.3213
101,9999.3213
102,9999.3213
103,9999.3213
104,9999.3213
105,9999.3213
106,9999.3213
107,9999.3213
108,9999.3213
109,9999.3213
110,9999.3213
111,9999.3213
112,9999.3213
113,9999.3213
114,9999.3213
115,9999.3213
116,9999.3213
117,9999.3213
118,9999.3213
119,9999.3213
120,9999.3213
121,9999.3213
122,9999.3213
123,9999.3213
124,9999.3213
125,9999.3213
126,9999.3213
127,9999.3213
128,9999.3213
129,9999.3213
130,9999.3213
131,9999.3213
132,9999.3213
133,9999.3213
134,9999.3213
135,9999.3213
136,9999.3213
137,9999.3213
138,9999.3213
139,9999.3213
140,9999.3213
141,9999.3213
142,9999.3213
143,9999.3213
144,9999.3213
145,9999.3213
146,9999.3213
147,9999.3213
148,9999.3213
149,9999.3213
150,9999.3213
151,9999.3213
152,9999.3213
153,9999.3213
154,9999.3213
155,9999.3213
156,9999.3213
157,9999.3213
158,9999.3213
159,9999.3213
160,9999.3213
161,9999.3213
162,9999.3213
163,9999.3213
164,9999.3213
165,9999.3213
166,9999.3213
167,9999.3213
168,9999.3213
169,9999.3213
170,9999.3213
171,9999.3213
172,9999.3213
173,9999.3213
174,9999.3213
175,9999.3213
176,9999.3213
177,9999.3213
178,9999.3213
179,9999.3213
180,9999.3213
181,9999.3213
182,9999.3213
183,9999.3213
184,9999.3213
185,9999.3213
186,9999.3213
187,9999.3213
188,9999.3213
189,9999.3213
190,9999.3213
191,9999.3213
192,9999.3213
193,9999.3213
194,9999.3213
195,9999.3213
196,9999.3213
197,9999.3213
198,9999.3213
199,9999.3213
200,9999.3213
201,9999.3213
202,9999.3213
203,9999.3213
204,9999.3213
205,9999.3213
206,9999.3213
207,9999.3213
208,9999.3213
209,9999.3213
210,9999.3213
211,9999.3213
212,9999.3213
213,9999.3213
214,9999.3213
215,9999.3213
216,9999.3213
217,9999.3213
218,9999.3213
219,9999.3213
220,9999.3213
221,9999.3213
222,9999.3213
223,9999.3213
224,9999.3213
225,9999.3213
226,9999.3213
227,9999.3213
228,9999.3213
229,9999.3213
230,9999.3213
231,9999.3213
232,9999.3213
233,9999.3213
234,9999.3213
235,9999.3213
236,9999.3213
237,9999.3213
238,9999.3213
239,9999.3213
240,9999.3213
241,9999.3213
242,9999.3213
243,9999.3213
244,9999.3213
245,9999.3213
246,9999.3213
247,9999.3213
248,9999.3213
249,9999.3213
250,9999.3213
251,9999.3213
252,9999.3213
253,9999.3213
254,9999.3213
255,9999.3213
256,9999.3213
257,9999.3213
258,9999.3213
259,9999.3213
260,9999.3213
261,9999.3213
262,9999.3213
263,9999.3213
264,9999.3213
265,9999.3213
266,9999.3213
267,9999.3213
268,9999.3213
269,9999.3213
270,9999.3213
271,9999.3213
272,9999.3213
273,9999.3213
274,9999.3213
275,9999.3213
276,9999.3213
277,9999.3213
278,9999.3213
279,9999.3213
280,9999.3213
281,9999.3213
282,9999.3213
283,9999.3213
284,9999.3213
285,9999.3213
286,9999.3213
287,9999.3213
288,9999.3213
289,9999.3213
290,9999.3213
291,9999.3213
292,9999.3213
293,9999.3213
294,9999.3213
295,9999.3213
296,9999.3213
297,9999.3213
298,9999.3213
299,9999.3213
300,9999.3213
301,9999.3213
302,9999.3213
303,9999.3213
304,9999.3213
305,9999.3213
