Generation, Fitness
0,9909.84150625
1,9910.593375
2,9910.74134375
3,9910.74134375
4,9910.96775
5,9911.06029375
6,9911.06029375
7,9911.528575
8,9911.528575
9,9911.528575
10,9911.528575
11,9911.528575
12,9911.598475
13,9911.598475
14,9911.598475
15,9911.74950625
16,9911.8607375
17,9911.8607375
18,9912.65516875
19,9912.65516875
20,9912.65516875
21,9912.65516875
22,9912.65516875
23,9912.65516875
24,9912.65516875
25,9912.65516875
26,9912.65516875
27,9912.65516875
28,9913.12723125
29,9913.12723125
30,9913.12723125
31,9913.12723125
32,9913.12723125
33,9913.12723125
34,9913.12723125
35,9913.12723125
36,9913.12723125
37,9913.12723125
38,9913.12723125
39,9913.12723125
40,9913.12723125
41,9913.12723125
42,9913.12723125
43,9913.12723125
44,9913.12723125
45,9913.12723125
46,9913.12723125
47,9913.12723125
48,9913.12723125
49,9913.12723125
50,9913.12723125
51,9913.12723125
52,9913.12723125
53,9913.12723125
54,9913.12723125
55,9913.12723125
56,9913.12723125
57,9913.12723125
58,9913.12723125
59,9913.12723125
60,9913.12723125
61,9913.12723125
62,9913.12723125
63,9913.12723125
64,9913.12723125
65,9913.12723125
66,9913.37150625
67,9913.37150625
68,9913.37150625
69,9913.37150625
70,9913.37150625
71,9913.37150625
72,9913.37150625
73,9913.37150625
74,9913.37150625
75,9913.37150625
76,9913.37150625
77,9913.37150625
78,9913.37150625
79,9913.37150625
80,9913.37150625
81,9913.37150625
82,9913.37150625
83,9913.37150625
84,9913.37150625
85,9913.37150625
86,9913.37150625
87,9913.37150625
88,9913.37150625
89,9913.37150625
90,9913.37150625
91,9913.37150625
92,9913.37150625
93,9913.37150625
94,9913.37150625
95,9913.37150625
96,9913.37150625
97,9913.37150625
98,9913.37150625
99,9913.37150625
100,9913.37150625
101,9913.37150625
102,9913.37150625
103,9913.37150625
104,9913.37150625
105,9913.37150625
106,9913.37150625
107,9913.37150625
108,9913.37150625
109,9913.37150625
110,9913.37150625
111,9913.37150625
112,9913.37150625
113,9913.37150625
114,9913.37150625
115,9913.37150625
116,9913.37150625
117,9913.37150625
118,9913.37150625
119,9913.37150625
120,9913.37150625
121,9913.37150625
122,9913.37150625
123,9913.37150625
124,9913.37150625
125,9913.37150625
126,9913.37150625
127,9913.37150625
128,9913.37150625
129,9913.37150625
130,9913.37150625
131,9913.37150625
132,9913.37150625
133,9913.37150625
134,9913.37150625
135,9913.37150625
136,9913.37150625
137,9913.37150625
138,9913.37150625
139,9913.37150625
140,9913.37150625
141,9913.37150625
142,9913.37150625
143,9913.37150625
144,9913.37150625
145,9913.37150625
146,9913.37150625
147,9913.37150625
148,9913.37150625
149,9913.37150625
150,9913.37150625
151,9913.37150625
152,9913.37150625
153,9913.37150625
154,9913.37150625
155,9913.37150625
156,9913.37150625
157,9913.37150625
158,9913.37150625
159,9913.37150625
160,9913.37150625
161,9913.37150625
162,9913.37150625
163,9913.37150625
164,9913.37150625
165,9913.37150625
166,9913.37150625
167,9913.37150625
168,9913.37150625
169,9913.37150625
170,9913.37150625
171,9913.37150625
172,9913.37150625
173,9913.37150625
174,9913.37150625
175,9913.37150625
176,9913.37150625
177,9913.37150625
178,9913.37150625
179,9913.37150625
180,9913.37150625
181,9913.37150625
182,9913.37150625
183,9913.37150625
184,9913.37150625
185,9913.37150625
186,9913.37150625
187,9913.37150625
188,9913.37150625
189,9913.37150625
190,9913.37150625
191,9913.37150625
192,9913.37150625
193,9913.37150625
194,9913.37150625
195,9913.37150625
196,9913.37150625
197,9913.37150625
198,9913.37150625
199,9913.37150625
200,9913.37150625
201,9913.37150625
202,9913.37150625
203,9913.37150625
204,9913.37150625
205,9913.37150625
206,9913.37150625
207,9913.37150625
208,9913.37150625
209,9913.37150625
210,9913.37150625
211,9913.37150625
212,9913.37150625
213,9913.37150625
214,9913.37150625
215,9913.37150625
216,9913.37150625
217,9913.37150625
218,9913.37150625
219,9913.37150625
220,9913.37150625
221,9913.37150625
222,9913.37150625
223,9913.37150625
224,9913.37150625
225,9913.37150625
226,9913.37150625
227,9913.37150625
228,9913.37150625
229,9913.37150625
230,9913.37150625
231,9913.37150625
232,9913.37150625
233,9913.37150625
234,9913.37150625
235,9913.37150625
236,9913.37150625
237,9913.37150625
238,9913.37150625
239,9913.37150625
240,9913.37150625
241,9913.37150625
242,9913.37150625
243,9913.37150625
244,9913.37150625
245,9913.37150625
246,9913.37150625
247,9913.37150625
248,9913.37150625
249,9913.37150625
250,9913.37150625
251,9913.37150625
252,9913.37150625
253,9913.37150625
254,9913.37150625
255,9913.37150625
256,9913.37150625
257,9913.37150625
258,9913.37150625
259,9913.37150625
260,9913.37150625
261,9913.37150625
262,9913.37150625
263,9913.37150625
264,9913.37150625
265,9913.37150625
266,9913.37150625
267,9913.37150625
268,9913.37150625
269,9913.37150625
270,9913.37150625
271,9913.37150625
272,9913.37150625
273,9913.37150625
274,9913.37150625
275,9913.37150625
276,9913.37150625
277,9913.37150625
278,9913.37150625
279,9913.37150625
280,9913.37150625
281,9913.37150625
282,9913.37150625
283,9913.37150625
284,9913.37150625
285,9913.37150625
286,9913.37150625
287,9913.37150625
288,9913.37150625
289,9913.37150625
290,9913.37150625
291,9913.37150625
292,9913.37150625
293,9913.37150625
294,9913.37150625
295,9913.37150625
296,9913.37150625
297,9913.37150625
298,9913.37150625
299,9913.37150625
300,9913.37150625
301,9913.37150625
302,9913.37150625
303,9913.37150625
304,9913.37150625
305,9913.37150625
306,9913.37150625
307,9913.37150625
308,9913.37150625
309,9913.37150625
310,9913.37150625
311,9913.37150625
312,9913.37150625
313,9913.37150625
314,9913.37150625
315,9913.37150625
316,9913.37150625
317,9913.37150625
318,9913.37150625
319,9913.37150625
320,9913.37150625
321,9913.37150625
322,9913.37150625
323,9913.37150625
324,9913.37150625
325,9913.37150625
326,9913.37150625
327,9913.37150625
328,9913.37150625
329,9913.37150625
330,9913.37150625
331,9913.37150625
332,9913.37150625
333,9913.37150625
334,9913.37150625
335,9913.37150625
336,9913.37150625
337,9913.37150625
338,9913.37150625
339,9913.37150625
340,9913.37150625
341,9913.37150625
342,9913.37150625
343,9913.37150625
344,9913.37150625
345,9913.37150625
346,9913.37150625
347,9913.37150625
348,9913.37150625
349,9913.37150625
350,9913.37150625
351,9913.37150625
352,9913.37150625
353,9913.37150625
354,9913.37150625
355,9913.37150625
356,9913.37150625
357,9913.37150625
358,9913.37150625
359,9913.37150625
360,9913.37150625
361,9913.37150625
362,9913.37150625
363,9913.37150625
364,9913.37150625
365,9913.37150625
366,9913.37150625
367,9913.37150625
